stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,5.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.63,0,0,8.39,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0.8,0,0,0,0,0.95,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,1.28,0,0.61,21.96,0,0,0,0.95,0,0.62,9.59,0,1.11,0,0
 36-46,0,0,0.76,0,5.23,0,0,2.21,0,0,0,0,0,0,2.67,0,0,35.28,0,0,0,0,0,0,5.62,0,0,0,0
 48-58,0,0,0.73,0,18.23,0,0,0.52,0,0,0,0,0,0,8.06,0,0.83,40.15,0,0,0,0.5,0,0,9.18,0,0,0,0
 60-70,0,0,4.54,0,32.77,0,0,3.91,0,0,0,1.55,0,0,5.69,0,0.93,32.65,0,0,0,2.78,0,0,3.34,0,1.17,0,0
 72-82,0,0,0,3.21,18.65,0,0.57,4.48,1.42,0,0,0,0,0.87,9.99,0,0,37.43,0,0,0,2.62,0,0,15.9,0,0,0,0
 84-94,0,0,1.91,0.89,22.3,1.16,1.19,0,0.97,0.59,0,0,0,0,4.07,0,0,15.24,0,0,0,12.05,0,0,12.38,0,0,0,0
 96-106,0,0,1.16,0,21.21,7.79,0.64,6.37,0,0.74,0,0,0.83,0,18.55,2.38,3.43,20.19,0,1.16,0,14.58,0.63,0,0,0,0.66,0,0
108-118,0.98,0,0,1.29,15.88,0,0,0.68,0,2.78,0,0.64,0,0,7.96,0,0.52,19.11,0,0,0,2.65,0,0,0,1.7,0.89,1.57,1.5
120,0,0,1.69,0,9.46,0,1.44,13.37,0,1.01,8.04,0,0,0,13.37,0,4.23,9.42,1.29,0,0,3.94,0,0,0,0,4.65,9.16,0
