stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,50.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,24.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,57.24,0,0,0,0,0,0,0,0,0,0,223.84,0,0,0,58.08,0,0,0,0,0,0,0,0,0
 10-12,0,8.49,0,25.06,0,0,81.86,0,0,0,12.47,0,0,0,0,0,0,1031.91,3.1,0,0,109.56,0,4.94,0,0,3.87,0,0,0,0
 14-21,0,0,0,0,6.77,2.81,4.29,0,0,0,0,13.98,0,0,3.31,0,6.3,74.31,0,6.44,1.1,0,0,0,3.91,1.26,22.01,7.23,0,0,0
 24-34,0,0,0,0,0,0,3.93,0,0,0,0,5.29,0,0,0,0,1.02,1.86,0,2.09,0,0,0,0,0,0,0,1,0,0,0
 36-46,0,0,0,0,1.14,0,1.69,0,0,0,0,2.67,0,0,0.71,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,70.87,0,0.41,0,0,1.25,0,0,1.78,0.42,2.4,54.5,0,0,0,0,0.61,0,0,0,0,0.61,0,0,0
 60-70,0,0,0,0,1.05,0,484.39,0,0,0.63,0,0,0,0,7.81,0,0,64.01,0,0,0,0,0.63,0,0,0,0,4.88,0,0,0
 72-82,0,0,3.31,0,3.27,0,1150.39,0.58,13.37,7.28,0,0,0,0,3.62,0.72,0.57,46.1,0,1.09,0,0,0,0,0,0,0,3.23,0,0,0
 84-94,0,0,0,0,0.7,0,573.82,0,16.96,12.22,0,0,0,0,4.11,0,0,33.6,0,0,0,0,0,0,0,0,0,7.37,0,0,5.37
 96-106,0,0,0.87,0,0,1.27,690.52,0,5.66,23.67,0,0,0,1.56,0.65,0,0,24.08,0,0,0,0,0,0,0,0,0,0,4.09,0.68,0
108-118,0,0,0,0,3.15,0,428.89,0,4.43,12.88,0,0,0.48,0,0.99,1.32,0.59,33.6,0,0,0,0,0,0,0,0,0,0,1.55,0,0.94
120,0,0,3.73,0,0,0,195.85,0,8.34,9.76,0,0,0,0,2.59,0,0,35.87,0,0,0,0,0,0,0,0,0,0,0,0,1.74
