stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,6.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.36,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,3.85,0,0,7.71,0,0
 14-21,0,0,0.91,0.88,0,0,0,0,1.15,0,0,0,2.24,0,1.72,16.82,0,0,0,3.96,22.28,0,0
 24-34,0,0,0,0,1.87,0,0,0,3.45,0,0,0,0,0,0,11.66,0,0,0,0,0,2.87,0.84
 36-46,0,0,0,0,1.03,0.69,0,0,0.56,0,0,0,3.42,0,0,10.01,0,0,0,0,0,1.29,0
 48-58,0,0,0,0,1.99,0,0,0,0,0,0,0,4.14,0,0,10.32,0,0,0,0,0,0,0
 60-70,0,0,0,0,6.71,0,0,0,0,0,0,0,3.7,0,7.7,1.56,0,0,0,0,0,3.48,0
 72-82,0,0,0,0.59,16.81,0,0,0,1.95,0,0,0,2.22,0,0,6.23,0.77,0,2.21,0,0,0,0
 84-94,0,0,0,0,1.99,0.67,0,0,1.04,1.69,0,0,4.85,0.57,0,11.38,0,0,0.96,0,0,0,0
 96-106,0,1.1,2.77,1.79,1.33,0.97,0,0,1.55,0,0.9,0,1.73,0,3.5,9.46,0,0,0.86,0,0,0,0
108-118,0,0,0.84,0,0,0,1.48,1.06,0,0,0,0,0,0,0,8.6,1.69,0,0,0,0,0,0
120,0,0,0,7.94,3.72,0,0,0,0,0,0,2.6,0,0,10.18,14.5,0,0,0,0,0,0,0
