stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  3-4,0,63.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,29.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.43,0,0,3.98,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,38.92,4.02,0,0,0,0,0
 14-21,0,0,0,0,0,0.84,1.97,0,0,3.92,0,0,0.87,0,0,1.62
 24-34,0,0,0.61,0,0,0,0,0,0,1.39,0,0,0,0,0,0.63
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,0.74
 48-58,0,0,1.38,1.88,0.41,0.63,0,0,0,3.04,0,0,0,0,0,0.59
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.7,0,2.09,0,1.07,0,0,0,0
120,0,0,0,0,0,0,0,1.79,0,1.05,0,0,0,0,0,0
