stage,endoderm,exocrine.pancreas,eye,fin.epithelia,glial,liver,mesenchyme,muscle,neural,periderm,spinal.cord
  7-9,0,0,5.97,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,1.11,0,0,0.8,2.5,1.3
 36-46,0,0,0,0,0,0,0,0,9.29,0,0.63
 48-58,0,0,1.6,0,0,0,0,0,5.62,0,1
 60-70,0,0,0,0,0,40.38,0.87,0,9.77,0,0
 72-82,0,2.19,0,0,0,83.75,0,0,4.16,0,1.58
 84-94,0,13.47,13.74,0,0,153.95,1.92,0,20.49,1.19,0
 96-106,0.95,2.87,3.79,0,0.83,58.61,0,2.27,3.03,5.62,0
108-118,0,13.35,3.11,1.22,3.16,390.36,2.2,0,11.12,1.52,0
120,0,17.19,0,0,0,214.48,4.24,0,41.08,0,0
