stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,111.78,746.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.01,0,0,0,0,0,0,0,0
  5-6,55.18,586.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.92,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0
  7-9,0,10.08,0,20.1,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.85,5.47,0,0,23.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.32,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,33.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.8,0,0.86,0,0,0,0,0,0,0.95,0,0,0.81,0,0,0,0,0,0,0,0,0,0,168.83,0,1.16,0,0,0,0,0,0,109.47,0,0,0,0,0
 24-34,0,0,7.96,0,2.09,0,0,24.77,0,0,0,0.65,3.36,0,0,0,0,0,0,0,0,0,0,0,1.71,1185.85,0.67,20.86,1.2,0,0,5.21,0,5.31,349.57,0,0,0,0,0
 36-46,0,0,5.09,0,0.64,0,0,182.87,0,0,0,55.64,0,0,0,0,0,0.71,0,5.65,4.75,5.31,0,0,1.11,2976.6,0,44.8,0,0,0,29.16,0,0,663.11,0,0,4.31,0,4.61
 48-58,0,0,2.28,0,30.32,10.39,0,478.67,1.02,0,1.11,157.51,0,0,1.04,9.26,0,0,5.43,0,3.05,26.1,0,0.87,7.99,3044.71,5.36,15.83,0,0,0,8.91,0,0,664.86,0,0,1.32,0,11.35
 60-70,0,0,1.49,0,1.15,2.33,0,1069.47,0,6.15,0.81,194.82,0,0,2.9,0,0,0,1.47,0,3.36,33.42,0,0.68,1.04,4019.53,0.58,22.86,0,0,0,13.03,0,0,595.96,0,0,0,0,27.2
 72-82,0,0,2.65,0,18.05,0.83,0,955.27,0,3.26,3.76,170.52,0,0,0,2.79,0,2.68,0.92,0,0,66.36,0,0.76,5.75,3226.82,0,26.58,0.79,0,1.08,0,0,0,462.34,0.87,0,1.04,2.92,6.98
 84-94,0,0,0,0,12.5,9.87,0,751.81,0,0,10.74,132.06,0.93,0,1.46,0.76,0,0.58,0,1.84,17.42,38.47,0,0,7.19,2559.38,0,17.76,4.06,0,0,0.71,1.47,0,341.72,0,4.95,11.76,0,0.58
 96-106,0,0,0.89,0,24.17,11.47,1.32,692.09,0,0.62,2.27,210.58,0.93,0,0.73,3.69,0.59,0,0,0,7,43.59,1.24,0.73,0.57,2072.39,0,35.44,2.26,0,0,17.14,0,0,160.19,1.89,4.49,6.78,0.61,0
108-118,0,0,0.55,0,18.74,10.12,5.46,717.23,1.02,0.43,0.65,258.88,2.45,0,1.09,2.72,2.9,0.74,0,0.51,4.05,60.22,0,1.31,2.16,3135.95,0,17.65,12.64,0,0,0.42,0,0,153.15,0,0,1.98,0,1.86
120,0,0,2.94,1.28,46.81,20.71,15.5,848.59,0,0,1.74,324.86,9.62,0,3.22,0,0,6.98,0,0,9.5,84.55,0,0,10.13,5343.45,0,62.12,17.53,0,0,11.77,0,0,304.15,0,0,10.67,4.27,0
