stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.74,0,11.04,0,2.48,0,1.45,0,0,0,1.26,0,0,0,0
 24-34,0.81,1.29,0,1.66,0,0,2.02,6.35,0,0,2.52,0,0,1.99,0,0,1.47,0,0,0
 36-46,0,0,0,0,0,0,18.32,4.57,0,0,7.37,0,0,0,0,0,0,0,0,0
 48-58,0,0.79,0,0.95,5.26,0,14.81,6.24,0.58,0,18.44,0,0,0,0,0,0,0,0,0
 60-70,0,2.53,6.44,1.49,0,0,11.7,14.98,0,0,13.67,0,0,0,0,0,0,0,0,0
 72-82,0,1.25,0,0,0,0,4.71,3.61,0,0.86,4.84,0,0,0,0,0,0,0,0,0
 84-94,0,1.25,0,10.56,0,0,8.14,22.74,0,0,1.06,0,0,0,0,0,0,0,0.59,2.65
 96-106,0,0,0,2.81,0,0,12.15,26.48,2.75,9.61,7.59,0,0,0,2.97,0,0,2.53,0,0
108-118,0,0,0,0,1.4,3.19,15.05,22.04,0.49,1.99,2.4,0,0,0,0,0,0,0,0,1.81
120,0,0,0,3.48,1.68,0,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0
