stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,62.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,6.94,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.44,0,0,0,0,33.9,0,0,0,0,0,0,0
 10-12,15.81,0,0,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,39.23,0,0,0,8.37,20.29,0,0,0,0,0,0,0
 14-21,0,0,0,9.44,0,0.88,0,0,0,1.33,0,0,10.51,0,0,0,0,0.9,0,0,0,105.02,0,0,0,0,176.29,6.05,1.16,165.96,0,0,0,0
 24-34,0,0,1.43,33.05,0,5.48,0,0,4.28,1.02,5.78,0,22.05,0.92,0,0,0,1.93,2.72,0,0,577.4,0.92,1.57,1.33,0,6.05,5.88,0,648.99,0,0,1.4,0
 36-46,0,0,0,16.74,0,12.12,0,0,2.83,0.68,0,0,5.05,1.51,0,0,0,5.33,1.56,0,0.56,816.77,0,4.52,2.59,0,11.51,5.66,0,627.08,0,0,0,0
 48-58,0,0,0,10.85,0,18.95,0,0,18,0,0,0,0.81,4.09,0,0,0,23.48,0,0,3.53,1187.83,0,0.69,9.03,0,0,0.89,0,237.74,0,0,0,0
 60-70,0,0,0,3.55,0,31.64,0,0,18.13,0,0,0,0,0,0,2.97,9.95,17.51,0,0,8.12,2019.93,0,6.9,1.89,0,1.08,9.08,0,385.79,0,0,2.55,0.81
 72-82,0,0,0,11.56,5.11,55.66,0,0,33.62,1.1,0,0,0,0,0,0,0,35.91,0,0,4.28,1787.73,0,1.3,4.49,0,1.48,0.75,0,216.82,1.33,0,1.41,0
 84-94,0,0,0,10.04,0,63.84,0,0,22.22,1.37,0,0,0,4.23,0,0,0,35.41,0,6.63,2.55,1098.02,0,0,9.74,0,0.83,2.97,0,151.17,0,1.05,0,0
 96-106,0,0.99,0,6.62,0,57.31,0,0,27.69,0,0,0.93,1,4.87,0,0.7,0,25.23,0,1.42,4.41,1026.46,0,0.57,2.84,0,2.49,0.7,0,83.64,0,0,0,0
108-118,0,0,0,5.69,0.7,49.84,0.54,0,33.49,0.43,0,0,0,0.42,1.49,0,0,47.49,0,0,4.01,1309.34,0.48,3.51,7.36,0,0.48,3.95,0,57.39,0,1.51,0,0
120,0,0,1.66,11.04,3.75,90.51,0,8.73,32.52,2.89,0,0,0,5.84,0,0,0,93.46,0,4.29,2.24,1631.7,0,0,2.55,0,2,3.1,0,76.24,0,0,15.53,0
