stage,blastomeres,epidermis,eye,glial,heart,immune,mesenchyme,neural,pgc,spinal_cord
  5-6,9.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,13.6,7.76,0
 10-12,0,0,0,0,0,0,0,14.99,0,0
 14-21,0,0,0,0,0,0,0,5.49,0,2.4
 24-34,0,0.84,0.98,0,0,0,0.97,13.06,0,0
 36-46,0,0,1.05,0.83,0.56,0,0.59,5.29,0,7.68
 48-58,0,0.91,1.75,0,0.64,0,0,0,0,0
 60-70,0,0,0.64,0,0,0,0,0.85,0,0
 72-82,0,0,3.5,0,0,0,1.02,2.86,0,0
 84-94,0,0,1.17,0,0,0,0,1.54,0,0
 96-106,0,0.6,0,0,0.71,1.08,0,0,0,4.58
108-118,0,0,0.54,0,0,1.17,0,0.59,0,0
120,0,0,0,0,0,9.43,0,2.6,0,0
