stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65,0,0,0,0,0
 14-21,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0.75,0,0,0
 36-46,0,0,0,2.34,0,0,0,0,0,0,0,0,0,4.29,0,0,0,0,0
 48-58,0,0,0,8.29,0,0,1.88,0,0,0,0.38,0,0,9.65,0,1.03,0,0,0
 60-70,0,0,0,66.6,0,0,0,0,0,0,1.72,0,0,6.68,0,0,0,0,0
 72-82,0,0,4.09,218.59,0.5,0,9.72,0,0,0,17.28,0,0,21.04,0,1.15,0,1.92,3.41
 84-94,0,0,0,426.41,0,0,6.83,0,3.38,0,11.23,0,1.59,26.49,0,3.03,0,0,0
 96-106,0,0.92,0,1069.64,0,0,1.47,0.82,0,0.61,8.38,0,0,10.13,0,0,1.13,0,0
108-118,0,2.74,1.32,1406.93,0,0,5.84,0,0,0,39.06,0.44,0,38.61,0,5.69,0,3.33,0
120,0,2.82,0,730.88,10.7,30.05,13.36,0,0,0,19.26,0,0,70.82,2.66,0,0,0,0
