stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1.07,1.84,48.4,6.33,0,15.2,0,0,0,15.08,0,2.29,2.25,0,0,0,0.93,0,0,32.12,0,0,18.32,295.79,9.26,2.66,5.83,5.33,0,4.34,35.03,6.56,2.69,40.36,101.12,0,0,2.07,0,0
 24-34,0,0,1.68,69.24,10.02,0,196.82,2.96,8.6,6.34,41.48,0,5.16,0,9.68,7.37,0.7,13.24,12.24,3.82,147.02,6.47,0.91,49.59,2487.17,11.89,13.47,29.77,0,0,54.29,0,11.28,0.61,27.58,499.52,0,0,54.28,0,22.24
 36-46,0,1.4,0,71.11,6.03,0,389.45,3.5,5.68,4.01,89.48,2.23,0,2.12,5.33,13.13,3.47,0.99,3.24,7.19,121.65,0,0.72,28.92,2777.42,34.36,11.31,14.36,0,0,156.25,0,3.27,7.75,2.04,423.85,0,1.04,38.39,0,24.91
 48-58,0,0,0.43,107.03,9.67,0,851.61,7.81,28.08,15.88,218.18,4.61,0,10.34,19.89,3.66,30.85,2.52,13.91,2.62,198.07,0,18.03,70.79,2734.82,26.39,13.87,48.49,0,0.97,127.05,0,2.22,2.58,0,292.01,0,1.01,32.13,0,16.49
 60-70,0,0.77,0,162.13,7.09,0,1614.52,8.92,45.72,29.51,293.45,36.01,0,0.7,18.72,7.29,43.51,15.38,16.88,2.36,422.84,3.36,50.94,82.78,3534.49,20.84,7.39,62.87,0,0.71,159.73,0,8.1,5.81,0,329.57,17.3,3.32,42.06,6.19,18.11
 72-82,0,4.02,0,40.16,1.1,0,722.36,8.84,14.15,14.86,143.43,14.75,0,0.84,6.46,12.47,11.42,6.5,1.3,0,220.12,1.84,15.87,26.42,1310.51,5.91,10.42,17.39,0,3.03,53.93,0,1.87,0,0,99.75,4.96,2.15,25.01,5.55,16.42
 84-94,0,0,0,33.88,5.8,0,419.26,3.31,13.52,5.29,86.6,16.79,1.23,4.58,13.14,11.34,7.45,4.01,5.17,1.96,208.19,3.64,7.26,11.74,664.87,0,3.34,19.93,0,5.63,91.13,0,4.69,0.61,0,30.93,12.67,3.44,34.7,9.69,0.73
 96-106,0,3.05,0,11.88,0,0,137.48,0,0,1.66,29.97,6.23,0,2.68,3.55,1.61,1.33,2.88,0,0,43.3,0,0.88,2.86,233.8,0,3.75,5.15,0,0,30,0,1.44,0,0,8.3,5.27,0.62,5.35,2.54,0.9
108-118,0,6.65,1.06,44.89,1.74,0.64,321.12,0,4.08,1.83,57.19,12.5,0,2.88,12.37,3.88,8.36,1.56,3.18,6.16,114.68,0.53,8,18.2,600.58,0.45,15.42,14.46,0,3.57,52.05,0,2.44,0.51,0,20.59,4.27,5.33,16.76,0,5.43
120,2.82,10.43,0,69.86,13.93,0,458.04,12.08,10.94,20.34,239.38,8.48,0,0,49.66,14.11,7.55,3.95,20.31,0,205.49,0,0,48.37,2057.73,11.3,10.76,21.94,0,20.3,56.1,0,0,0,0,78.02,2.24,3.8,28.72,26.95,2.78
