stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,9.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.72,0,0,0,10.47,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,5.55,0,0,0,0,0,2.42,0,1.23,0,0,0,0,0
 24-34,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03,0,0,0,0,0,0,0,0,2.78,0,0,0,0
 36-46,0,0,0,0,0,0,2.92,0,0,0,1.09,0,0,0,2.59,0,0.86,16.32,0,15.01,57.32,6.6,0,0,0,0,0,0,8.44,8.26,0,0,0,0
 48-58,0,0,0,0,2.73,0,6.46,0,0,0,0.64,0,0.77,0,0,0,1.44,67.29,1.23,24.56,79.41,0,0.74,0,0,0,0.91,0,36.07,13.74,0,0,0,0
 60-70,0,0,0,0,0,0,13.62,3.16,0,0.65,3.75,0.61,0,0,0,0,3.59,350.32,0.96,30.53,100.43,0,0,0,0,0,4.6,0,76.16,7.12,0,0,3.68,0
 72-82,0,1.04,0,0.65,1.08,0,36.3,0,0,1.44,1.07,0,0,0,0,0,0,423.51,36.61,62.58,91.33,0,1.25,3.1,0,0,1.94,0,67.97,0.71,2.98,0,1.02,0
 84-94,0,0,0,4.39,0,0,44.58,7.3,13.13,1.05,13.68,0,0,0,0,0,6.81,521.51,7.12,97.49,54.38,0,0,1.81,0,0,0.67,0,125.22,7.81,0,12.93,0,0
 96-106,0,0,0,2.6,12.52,0,34.65,6,1.9,0,8.07,0,0,0.89,1.17,9.15,0,392.08,13.55,44.75,132.22,1.27,1.87,0,0,8.13,4.68,0,151.28,3.78,0,3.51,8.15,0
108-118,0,0,0,6.77,6.87,0.45,42.25,9.17,3.82,0,0.7,0,0,0,0,0,8.32,507.34,53.16,25.05,82.16,0,2.18,1.65,0,0,1.8,0.7,124.42,9.49,0,13.75,0,1.59
120,0,0,0,0,5.26,0,11.87,14.58,0,0,0,0,0,0,0,0,1.6,671.22,129.47,9.5,121.93,0,0,0,0,0,4.44,0,31.03,0,0,1.46,2.37,0
