stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0.88,0,0,0,0,0,0,0,0,0,0,0.9,0,0,28.3,0,0,0,0,1.02,8.01,0,0,0
 24-34,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,168.09,3.01,0,0,0,0,34.99,0,0,0
 36-46,0,0,0,0,5.4,0,0,1.4,0,0.65,0,0,0,0,0,0,473.36,4.48,0,0,0,0,70.07,0,0,0
 48-58,0,0,1.06,0,44.55,0.7,0,2.4,0,0,0,6.91,0,3.43,0,0.71,455.95,1.57,0,0.95,0,0,77.74,0.46,0,0
 60-70,0,10.91,1.1,0,86.03,0,0,4.44,1.23,0,0,0,7.36,4.3,0,0,682.79,2.73,0,5.55,0,0,86.36,0,0,4.24
 72-82,0,1.86,1.84,0,87.02,0,2.2,0.93,2.32,0.58,0,0,7.1,4.68,0,0,590.05,0.79,0,0,0,0,43.21,0,0.93,0
 84-94,0,0,9.64,3.71,104.03,0,0.68,2.72,5.1,2.41,0,0,0,7.2,1.22,0,416.65,6.04,0,0.73,0,0,33.64,0.92,0,0
 96-106,0,0,8.44,3.82,57.25,0,0,8.73,2.27,0,0,1.54,0,5.39,0,0,485.26,17.04,2.97,3.17,1.35,0,18.39,0,0,0
108-118,0,0.41,5.98,1.6,77.41,0,0,10.1,0.91,0,0,6.19,0,0.99,0,1.11,521.53,8.16,0,0,0,0,29.32,0,0,0
120,0,0,0,0,85.42,0,0,17.44,0,0,2.6,0,0,1.52,0,1.71,898.89,6.98,0,0,0,0,11.79,0,1.05,0
