stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle
  3-4,67.88,1952.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0
  5-6,128.01,1506.61,8.02,0,0,0,0,0,0,0,0,0,0,0,39.32,0,7.9,34.2,0,0,0,0,0,0
  7-9,35.23,0,38.36,0,0,31.84,0,0,25.38,0,0,0,0,0,425.24,10.21,151.91,5.76,8.64,0,0,0,0,0
 10-12,0,10.81,22.12,0,0,23,0,0,0,0,0,0,0,0,58.41,7.35,45.43,0,3.78,0,0,0,0,0
 14-21,0,0,1.9,4.53,0.89,2.79,0,1,0,0,0,1.71,0,0,14.61,0,0,19.38,1.23,0.86,0.89,1.02,7.42,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.22,1.11,0,0,5.55,0,0,2.1,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,1.78,0,0,0,0,1.07,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78,0,0,0,0.65,0,0,0,2.1,0
 60-70,0,0,0,0,0,0,0,0,0,0.8,2.25,0,0,0,12.81,0,0,0,0,0,0,0,1.45,0
 72-82,0,0,0,0,0,0,0.74,0.86,0,0,0,3.79,0,0,5.43,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.17,0,0,0,0,0.65,0,0,0,0,0,0
 96-106,0,0,0,1.97,1.75,0,0,2.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72
108-118,0,0,0,0,0,0,0,0,0,0,0,1.86,0,0.46,0,0,0,0,0,0,0,0,0,0
120,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
