stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,heart,immune,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature
  3-4,10.9,133.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.74,86.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.98,0,0,0,0,0,0,58.73,0,4.74,0,0,0,0
 10-12,0,0,0,9.96,0,0,0,0,0,0,0,0,14.93,0,4.02,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,0,0,4.11,0,0,0,0,0.92,0
 24-34,0,0,0,0,0,1.47,0,0,0,0.85,0,0,17.22,0,0,0,1.2,1,0
 36-46,0,0,0,0,0,2.69,0,0,0,0,0,0,18.93,0.68,0,0,0.8,6.17,0
 48-58,0,0,0,0,0,13.09,0.42,0,0,0,0,0,39.16,0,0,0,0,8.79,0
 60-70,0,0,0,0,0,2.15,0.66,0,0,0,0,0,10.03,0,0,0,0.57,0.72,0
 72-82,0,0,0,0,0,4.4,0,0,0,1.37,0.73,0,21.78,1.86,0,1.31,0,0,0.6
 84-94,0,0,0,0,0.7,4.19,0,0,0.65,4.46,0,0,13.55,3.55,0,0,0,2.69,0
 96-106,0,0,1.07,0,1.43,0,0,0,0,1.7,0,0,3.17,2.23,0,0,1.2,4.57,0
108-118,0,0,0,0,1.92,0,1.99,0.51,0,1.38,0,0,23.54,1.63,0,0,0,0,0
120,0,0,0,0,9.58,4.38,0,0,0,1.75,0,3.16,25.99,4.78,0,0,1.13,0,2.71
