stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,269.69,5247.45,0,0,0,0,0,0,0,0,0,0,202.91,0,0,0,0
  5-6,126.84,2245.95,0,0,0,0,0,0,0,0,37.2,9.5,23.05,0,0,0,0
  7-9,22.53,32,0,4.12,0,32.87,0,0,0,0,377.93,152.49,0,17.14,0,0,0
 10-12,0,0,0,5.62,0,3.4,0,0,0,0,22.18,47,0,19.37,14.53,0,0
 14-21,0,0,0,0,1.04,0,0,0,0,0,0.9,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,2.89,0
 36-46,0,0,0,0,0,8.37,0,0,0.99,1.19,18.45,0,0,0,0,0.62,0
 48-58,0,0,0,0,0,15.82,2.67,0,0.95,0,15.36,0,0,0,0,0,0
 60-70,0,0,0,0,0,10.78,0,0,0,0,6.61,0,0,0,0,0.66,0
 72-82,0,0,0,0,0,8.62,0,0,0.97,0,1.46,0,0,0,0.73,0,0
 84-94,0,0,1.29,0,0,0.76,0,0,0,0,0,0,0,0,0,1.56,0
 96-106,0,0,0,0,1.41,1.48,0,0,0,0,1.93,0,0,0,0,0,0.88
108-118,0,0,0,0,0,0,0,1.98,0,0,4.52,0,0.45,0,0.51,0,0
120,0,0,0,0,0,0,0,0,8.16,0,4.52,0,0,0,0,0,0
