stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,72.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,52.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.26,0,0,0,3.95,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.55,3.3,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.94,73.62,0,0.98,0,0,0,0,2.88,222.03,0,0,0,0,0
 24-34,0,0,4.64,1.28,0,2.66,0,2.34,0,0,0,1.85,0,1.02,0,0,0,11.59,0,0,0,1.06,716.78,0,2.9,0,0,1.08,1.28,0,765.93,0,0,0,0,2.72
 36-46,0,0,0.99,1.38,0,28.01,0.64,0,0,3.9,0,0,0,0,0,0,0,4.55,1.06,0,0,1.14,1201.71,0,2.98,0,0,0,0,0,671.82,0,0,0,0,0
 48-58,0,0,0.55,0.63,0,50.86,0,0,0,37.44,0,0,0,0,0,0,0,0.57,4.16,0,0,4.78,1290.65,0.71,2.09,0,0,0,0,0,382.79,0,0,0.52,0,0.79
 60-70,0,0,0.91,0,2.79,69.65,0,0,0,106.55,0.85,0,0,0,0,1.46,0,0,16.88,0,0,1.59,1539.67,0,3.33,0,0,8.24,0,0,321.8,0,0.83,0,0,3.16
 72-82,0,0,8.92,5.78,3.78,195.11,2.7,4.54,3.99,109.91,0,0.86,0,0,0,0,0,0,7.44,0.92,0,1.96,2646.91,0,2.71,1.99,0,6.18,1.5,0,358.42,0,0,3.13,0.79,0.67
 84-94,0,0,2.17,1.92,1.05,158.79,0,0.68,0,37.32,0,0,1.61,0,2.09,0,2.93,0,8.3,0,3.37,0.82,1874.75,0,0,7.38,0,2.28,0,0,260.8,0,2.12,1.71,0,0
 96-106,0,0,4.05,9.96,0,165.82,0,0,0.81,116.03,1.15,0,1.28,0,0,0,16.72,0,22.23,0,0,1.38,2211.02,0,0,1.77,0,15.58,0,0,159.52,0,0,6.67,0,0
108-118,0,0,5.86,12.19,0.9,134.56,0.59,3.91,0,80.67,0.95,0,0,0.47,0,0,1.5,0,13.23,4.07,0,0.92,2561.99,0.47,2.43,2.31,0,2.07,0,0,182.06,3.18,0,1.07,1.03,1.42
120,0,0,9.79,23.01,0,197.95,0,0,0,119.91,8.01,0,0,2.56,0,0,0,0,32.71,0,0,0,3754.63,6.6,0,0,0,1.04,1.63,0,347.16,0,0,0,0,0
