stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,67.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.36,57.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.28,0,4.55,0,0,0,8.73,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47,9.63,0,0,5.37,0,0,0,0,0,0,0
 10-12,0,5.11,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,1.08,0.93,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,9.97,0,0,2.47,0,0,0,0.63,0,0,1.46,0,0,0,0,0,0.81,42.2,0.67,0,0,0,0,3.39,1.43,0,3.36,0,1.41
 36-46,0,0,0,62.8,0,0,16.82,1.94,1.05,0,4.5,0,0,0,0,0,0,8.1,0,0,116.73,0,1.55,0,0,0,4.7,1.31,0,29.26,0,0.71
 48-58,0,0,0,28.14,1.82,0,24.2,0,2.85,0.44,15.57,0,0,0,0,0,0,7.95,0,1.29,137.54,5.76,0,1.85,0,0,7.99,0,0,32.94,0,0
 60-70,0,0,0,42.68,0,0,64.32,1.99,2.81,0,38.79,1.69,0,0,2.39,2.6,2.64,33.57,0.98,0.84,133.93,0,0,2.13,0,0,10.22,0,1.48,14.88,0,0
 72-82,0,0,0,17.01,0,0,36.08,0,1.99,3.04,8.47,0,5.05,0,0,0,0,29.59,8.28,0.8,66.18,1.43,0,0,0,0,9.73,0,0,11.19,0,0
 84-94,0,0,0,11.09,0,0,15.44,0,1.4,1.74,6.61,0,0,0,0,0,0,8.82,0,2.01,77.6,1.94,0,1.1,0,0,4.52,1.44,0,6.19,0.56,0
 96-106,0,0,0,0.83,0,0,14.89,0,0.6,0,2.26,0.93,0.64,0,0,0,0,5.28,0,1.13,46.29,0,0,0,0,1.44,10.54,0,0,0,0,1.83
108-118,0,0,0,15.3,0,1.62,12.81,0,3.03,0,0,0.94,0,0,0,0.42,0,8.6,0,2.91,36.58,0.67,0,0,0,1.07,4.29,0,0,0,0,0
120,0,0,0,15.08,0,2.42,4.33,0,2.41,0,1.95,0,0,0,0,0,0,0,0,0,56.35,1.87,0,1.4,0,0,8.44,0,0,0,0,19.96
