stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,16.48,0,0,0,11.82,0,0,0,0,0,0,0,0
 10-12,5.93,0,0,0,0,0,0,0,0,0,0,0,0,0,136.38,4.64,0,0,23.87,0,0,6.85,0,0,0,0,0
 14-21,0,0,0,2.51,1.77,0,0,0,68.64,0,0,0,1.89,1.17,56.63,0,3.12,15.78,3.03,0,2.93,52.94,2.6,5.41,178.39,0,0
 24-34,0,0,0,0.72,0,1.41,0,0,86.05,0,1.79,0,0,0.68,42.58,3.01,14.6,8.67,0,0,0,31.69,0,3.05,115.8,0,0.71
 36-46,0,0,0,0,0,4.37,0,0,59,0,0,0,0.8,0,54.18,0,9.11,0.65,0,0,0,8.68,0.6,0,82.66,0,0
 48-58,0,0,0,0,0,2.79,1.1,0,64.93,0,0,0.8,1.58,0.65,21.89,0,12.76,6.51,0,0,0,3.51,0,0,76.09,0,0
 60-70,0,0,0,0.77,0,6.28,0,0,58.11,0,0,1.81,1.77,0,25.21,0,13.11,4.67,0,0,0,2.74,0,0,40.16,0,0
 72-82,0,1.75,0,0.71,0,7.13,0,3.99,92.44,1.37,2.65,1.44,3.77,0.56,22.2,0,10.78,19.68,0,0,0,0.57,0,0,42.6,0,0
 84-94,0,0,0,0,0,3.09,0,0,89.06,0,3.44,1.38,3.47,0.7,32.09,0,24.6,24.85,0,0,0,2.18,0,0,23.05,0,1.11
 96-106,0,0,0,0,0,10.17,0,0,66.15,0,0.94,9.52,2.06,0,10.04,0,25.54,21.82,0,3.86,0,2.21,0,0,51.45,1.22,0
108-118,0,4.9,0,0,0,7.22,0,0,65.3,0.82,2.06,10.07,6.24,0,16.38,0,21.58,24.23,0,0,0,2.08,0,0,20.27,0,0
120,0,11.35,0,0,0,13.84,0,0,10.85,0,0,19.41,5.22,0,22.87,0,15.85,21.69,0,0,0,11.19,0,0,3.82,3.03,0
