stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,10.12,158.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,178.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.85,0,0,0,0,0,0,0,0,7.28,0,0,0,0,0,0,0,0,42.34,0,0,24.18,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88,0,0,0,3.32,0,13.01,0,0,0,0
 24-34,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67,14.87,1.02,0,0,0,0,8.65,1.02,3.28,4.21,0
 36-46,0,0,0,0,0,0,1.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,2.31,0,1.12,0,10.98,0,0
 48-58,0,0,0,0,0,0,3.14,0,0,0,0.68,0,0,0,0,0,0,2.48,2.04,0.8,0,13.15,0,0,0,0,0,2.32,0,8.5,0.71,0.97
 60-70,0,0,0,0,0,0,19.85,3.66,0,0,3.86,0.63,0,0,0,0,0,0,0.57,0,0,24.15,0,0,0,0,1.72,1.31,0,26.18,7.54,0
 72-82,0,0,0,0,0.78,0,11.66,1.23,0,1.26,5.36,0,0,0,0,0,0,0,3.86,0,0,46.93,0,0.84,0,0,0.52,1.69,0,27.3,0,0
 84-94,0,0,0,0,0,0,11.05,9.71,1.59,0,1.73,0,0,2.43,0,0,10.97,0,0,0,0.67,39.3,0,0,0,0.67,0,0,0,12.71,3.11,0
 96-106,0,0,1.57,0,0,0.78,35.2,11.44,0,0,2.66,0,0,1.18,0,0,0,0,3.94,0,3.04,85.56,0,6.11,1.2,0,0.61,1.44,0,4.02,1.15,0
108-118,0,0,0,0,0.76,3.57,32.13,0.91,0,0,12.14,0,0,0,1.15,1.11,0,0,8.71,0,4.51,87.45,0,0,0,1.17,0,4.5,0,8.83,0,0
120,0,0,0,0,5.89,0,27.05,7.3,0,0,40.39,0,0,2.5,0,0,0,0,0,0,0,165.21,0,11.21,0,2.63,0,1.21,0,5.59,0,0
