stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.87,3.35,0,0,1.32,0,26,0.9,0
 24-34,1.97,0.61,1.84,0,0,4.6,0,0,0.82,0.61,0,2.79,18.14,5.18,3.77,0,0,25.81,1.3,0
 36-46,0,1.64,5.2,0,0,0,0,0,1.44,6.54,0,14.25,9.73,1.29,0,0,1.43,3.42,0,0
 48-58,0,2.19,10.08,0,0,0,0,0,1.39,2.04,0,15.61,28.1,6.66,0,0,0.98,0,0.91,0
 60-70,0,0,6.04,0,0,0,0,0,0.79,7.88,0.81,5.12,0,6.11,4.32,0,0,0,1.68,0
 72-82,0,1.08,0,0,0,0,0,0,1.13,1.13,0,0.77,1.14,0,0,0,1.07,0,0,0
 84-94,0,9.96,1.76,0,0,0,0,0.76,0,3.5,0,10.31,1.12,0,0,0,0,0,1.5,0.82
 96-106,0,0,3.09,2.14,0,0,0,0,1.28,0,0,0.57,0,0.67,0,0,0,0,0,0
108-118,0.85,0,1.73,0,0.6,1.58,2.89,0,0,0.78,0,2.13,0,4.87,0,0,0,0,0,0
120,0,0,2.44,0,0,0,0,0,0,0,0,0,8.54,0,0,0,2.84,0,0,0
