stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,26.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.56,0,0,0,0,0,9.38,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.47,0,0,0,7.18,0,0,3.43,0,0,0,0,0
 14-21,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,2.08,0,3.96,0,0,0,0,0,174.25,0.88,2.38,0,0,0,0
 24-34,0,0,0,0,1.06,0,0,0,0,0.62,0,0,0,0,0,0,32.87,0,0,0,0,0,525.07,0,5.82,0,0,0,0
 36-46,0,0,13.83,0,1.73,3.12,0,0,0,0,0,0,0,0,2.85,0,46.75,0,2.24,0,0,0,547.48,0,12.11,0,0.58,0,0
 48-58,0,0,2.13,0,8.52,3.74,0.96,0,1.12,0,0.85,0,0,3.47,0,0.61,46.9,0,0,0,0,0,430.9,0,4.53,0,1.41,0,0
 60-70,0,0,10.03,0,18.19,6.79,3.49,0,0,1.4,0,0,0,3.63,2.63,7.15,64.94,0,2.85,0,0,0,368.19,0,8.49,3.21,4.78,0,0
 72-82,0,0,15.72,0,53.06,2.21,0.65,0,0.5,6.89,0,3.32,0,6.02,0.79,0,91.7,0,0.61,0,0,0,375.23,0,17.1,0,0,0,8.06
 84-94,0,0,37.79,1.05,22.41,5.56,6.05,0,0,9.31,0,0,0,1.91,1.73,0.71,49.82,0,0,0,0,0,755.82,0.73,1.07,0,2.97,0,0
 96-106,0,1.08,36.98,0,40.8,5.66,3.31,0,0,7.92,0,2.46,0,11.85,9.93,1.1,53.33,0.57,3.47,0.64,0,0,821.59,0,1.96,0,0,1.67,0
108-118,0,0,43.34,5.74,15.79,7.69,4.05,1.66,0,14.63,0,1.37,7.98,1.49,10.19,0.86,57.85,0,2.68,1.32,0,1.14,747.02,0,0,0,4.65,0,0
120,0,0,104.99,0,23.73,12.84,0,0,0,23.93,0,1.11,0,11.63,4.15,1.86,59.11,0,10.98,0,0,0,375.89,0,0,0,0,0,0
