stage,blastomeres,eye,fin.mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,spinal.cord
  3-4,32.71,0,0,0,0,0,0,0,0,0,0
  5-6,15.55,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.78,0
 10-12,0,0,0,0,0,0,0,0,4.29,10.12,0
 14-21,0,0,0,1.6,0,0,1.57,1.1,0,0,0
 24-34,0,0,0,0,2.31,0.81,0,35.32,0,0,2.54
 36-46,0,0,0,0,0,0.61,0,1.95,0,0,1.58
 48-58,0,0.72,0.97,0,0,0,0,8.91,0,0,3.01
 60-70,0,0,0,1.83,0,1.17,0,7.09,0,0,0.99
 84-94,0,0,0,0,0,0.82,0,0.62,0,0,0
 96-106,0,0,0,0,0,0,0,1.46,0,0,0
108-118,0,0,0,1.03,0,0,0,0,0,0,0
