stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,85.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.23,157.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.6,0,0,0,0,20.3,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,119.22,0,0,0,68.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.66,0,0,0,11.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.34,5.45,0,0,52.06,0,0,4.37,0,4.63,0,0,5.88,0,0,0,0
 14-21,0,0,0,3.67,0,0,3.98,0,0,0,0,0,0,1.78,0,0.89,0,0,0,0,2.31,0,2.86,22.54,0,0,0,0,0,0,0,1.61,0,6.23,9.2,15.82,0,0,0,0
 24-34,0,0,0.59,0.61,0,0,15.32,0,0,0,0.59,0,0,0,0,0,0,0,0,0,13.99,0,3.22,110.21,0.63,2.83,1.58,0,0,0,0,0,0,0,1.19,32.02,0,5.2,0,0
 36-46,0,0,0,4.8,0,0,27.62,0,0,0.58,3.67,0,0,0.93,0,0,1.49,0,0,0,17.02,0,9.06,116.61,5.32,1.53,0,0,0,0,0,0,0,0.79,0,11.78,0,0,0,0
 48-58,0,0,0,0.81,0,0,51.5,0.98,0.63,1.34,10.7,2.44,0,0.38,4.17,0,0,0,0,0.91,25.79,0.46,8.74,125.91,1,0,0,0,0,0,0,0,0,0.46,0,30.14,0,1.56,0,1.79
 60-70,0,0,0,0.74,0,0,66.82,0,0,0.76,10.31,0,0,0,12.5,0,0,0,0,0,29.05,0,5.23,95.74,0.75,0,5.61,0,0,0,0,0,0,0.67,0,12.56,4.81,3.14,0,0
 72-82,0,0,0,0,0,0,73.16,0.5,0,5.23,16.78,0,0,0,0,0,0,0,0,0,50.04,6.87,3.05,76.81,0,0.7,0.83,0,0,0,0,0,0,0,0,14.53,0,0,1.32,0
 84-94,0,0,0,0.74,4.11,0,56.07,1.24,0,1.98,7.52,0.76,0,0,1.28,0,0,1.2,0.58,0,57.74,0.61,5.35,71.05,1.8,0,0.79,0,0.79,0.69,0,0,0,0,0,11.66,0,4.03,0,23.09
 96-106,0,0,0,1.88,12.45,0,47.35,0,0.6,2.3,12.11,0,0,0.95,0,0,0,2.61,0,0,57.61,0,8.8,78.89,0,2.72,0.57,0,0,0.76,0,0,0,0,0,0,4.6,3.39,0,11.09
108-118,0,0,0,2.67,0.66,1.68,35.34,2.57,0,1.17,6.22,0.48,0,0,1.43,0,2.06,0.56,0,0,43.2,0.97,1.82,67.14,0,0,0,0,0,0,0,0,0,1.29,0,4.49,0,5.98,0,9.79
120,0,0,0,11.07,5.9,0,2.38,12.32,1.42,2.36,18.51,0,0,13.62,3.39,0,0,0,0,0,26.69,6.89,5.34,51.37,6.51,0,0,0,0,0,0,0,0,0,0,0,0,1.36,0,0
