stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.46,19.98,3.1,0,1.1,0,0,0,7.12,0,0,0,0,0,0,0,0,0,5.86,0,0,6.93,249.69,3.63,0,0,0.82,0,7.45,2.55,0,0.96,11.83,3724.85,0,0,0,0,0.81
 24-34,0,0,65.47,0,0,13.88,0,0.85,0,10.16,0,0,0,0,0.72,0,0.63,0,0.8,16.08,0,0,18.1,2386.1,0,11.55,1.55,0,0,4.29,0,0,0,3.65,6439.36,0,0,13.66,0,5.67
 36-46,0,0,4.14,0,0,36.7,0,5.17,0.65,24.67,0,0,7.74,0,0.77,0,0,13.74,8.07,8,2.15,0,14.98,3295.89,4.54,1.21,0,0,0,53.43,0,0,5.24,0,7506.35,0,0,2.04,0,5.32
 48-58,0,0,5.7,0,0,135.35,1.34,1.48,0,61.69,0,6.86,0,0,0.38,6.86,0,3.6,2.75,21.64,2.8,3.06,4.22,3088.04,0,0,0.7,0,0,3.87,0,0.57,0,0,3819.37,0,0,4.15,0,7.93
 60-70,1.36,0,13.43,0,0,105.97,0,0,2.51,219.39,1.96,0,0,2.56,10.18,0,1.55,0,3.35,22.37,2.04,0,3.37,3597.3,0,1.15,0,0,0,5.59,0,0,0,0,2185.09,0,0,1.26,0,10.31
 72-82,3.77,0,3.87,5.25,0,136.05,4.13,0.63,0,77.01,1.95,1.02,0.87,7.05,33.9,0.73,0,0,2.85,42.45,0,1.04,1.32,6822.95,4.45,3.24,0,0,0,11.52,0,0,0,0,1578.86,3.13,0,3.26,0.84,2.57
 84-94,1.18,0,151.51,2.22,0,287.72,0,0.56,0,102.19,4.51,0,0,0,134.63,0.55,0,0,4.39,98.58,0.93,6.31,0,3919.87,0.65,1.67,0,0,0.57,2.05,0,0,0,0,1091.8,0.78,0.57,3.71,2.72,0
 96-106,0,0,37.82,13.88,0,162.14,1.69,0,0,42.97,5.51,0,0,2.04,137.62,4.72,2.69,0,0,44.12,2.24,0,1.91,3140.01,0,0.92,0.74,0,0,1.44,0,0.74,0,0,454.89,7.94,0,3.07,0,17.58
108-118,0,6.11,12.1,9.26,9.45,89.98,5.1,4.33,3.12,75.37,44.84,0,0,1.24,148.44,4.55,1.39,2.46,3.52,59.03,9.33,0,0,3826.54,0.56,16.06,0,0,0,1.23,0,0,0,0,643.36,19.89,15.08,4.47,1.63,0
120,0,0,40.53,0,14.61,194.61,7.84,1.15,4.69,17.32,0,0,0,0,16.22,0,0,0,0,36.85,0,0,0,6525.78,0,5.11,0,0,9.36,1.03,0,0,0,0,1264.61,0,0,9.74,4.27,0
