stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,1182.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.71,2235.17,0,21.36,0,0,0,0,0,0,0,0,0,48.4,0,0,0,0,0,0,0,0,0,0,0,90.3,0,0,0,25.44,30.9,0,0,0,0,0,0,0,0,0,0
  7-9,47.81,83.35,0,85.72,0,0,0,190.25,0,0,0,0,0,65.69,0,0,0,0,0,0,0,0,0,0,0,1564.28,38.27,0,0,519.3,0,4.3,0,0,0,0,0,0,0,0,0
 10-12,0,25.49,0,37.74,0,10.05,0,124.26,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,0,0,3.87,1028.42,12.67,0,0,374.67,0,0,0,38.26,0,0,0,0,0,0,0
 14-21,0,0,0,2.4,44.15,18.67,0,22.85,0,0,0,16.58,0,0,0,0,0,0,1.12,0,0,44.2,0,0,20.25,591.94,9.98,4.07,3.98,8.09,25.69,0,39.77,1.28,26.08,151.11,0,0,2.53,0,0
 24-34,0,0,0,1.12,21.26,3.62,0,129.43,0,1.1,0,20.68,4.02,0,1.45,1.48,2.08,0.6,0,5.19,0,107.25,0,0,34.57,1250.71,2.86,45.85,11.48,0,43.75,0,0,5.81,2.67,248.5,0,0,29.77,0,1.12
 36-46,0,0,0,0,17.79,1.51,0,396.61,0.68,0,44.01,27.2,0.62,0,2.27,15.44,3.16,4.29,1.36,1.15,0,102.77,1.84,1.39,39.98,1103.74,11.62,32.35,6.15,0,17.34,0,1,4.64,0,257.26,0,0,18.17,0,0
 48-58,0,0,0,0,25.58,3.1,0,461.52,0,0,0.79,21.51,0,0,0.39,7,0,1.3,1.93,3.98,0,134.69,0,6.03,15.39,478.99,1.97,9.32,1.73,0,6.35,0,0,0,0,68.17,0,0.42,5.52,0.48,5.62
 60-70,0,0,0,0,23.31,0,0,337.55,0,0,0,33.73,0,0,0,4.22,0,0,0,0,0,114.81,0,7.48,14.94,302.73,3.02,17.95,0.68,0,1.96,0,0,0,0,19.8,0,0,10.82,1.79,0
 72-82,0,0,0,0,9.16,0.51,0.76,99.45,0,0,0,20.17,0.51,0,2.91,5.92,0.7,5.43,0.79,1.61,0.49,58,0.56,4.75,8.41,156.71,0,21.53,3.56,0,5.64,0,0,0,0,10.91,0.71,0,6.74,0,0
 84-94,0,0,1.19,1.01,10.19,0,1.24,89.76,0,0.63,0.77,22.68,3.5,0,0,8.74,0,1.43,0,0,0,59.44,0,11.7,5.87,148.56,0,18.22,4.53,0,3.76,0,0,1.01,0,1.03,3.4,4.28,19.84,0,0
 96-106,0,0,0,0,17.62,0.78,0,53.24,0,0.62,2.07,22.94,6.92,0,0.62,4.4,0,0,0,0,0,31.54,0,1.65,4.63,86,1.33,22.08,1.86,0,0,0,0,0,0,1.98,0,0,5.94,0,0
108-118,0,0,0,0,20.21,3.1,0,89.99,0,0,1.25,20.44,2.1,0,0,4.89,1.43,0.94,0.6,0.46,1.25,30.62,0,10.61,4.42,130.64,0.57,10.61,0.43,0,5.42,0,0,1.3,0,3.43,1.21,0,5.3,0,0
120,0,0,0,0,17.25,4.64,0,111.88,0,3.04,1.04,53.74,1.38,0,0,10.24,1.45,0,0,0,0,64.44,0,2.35,9.13,225.07,0,27.81,5.89,0,0,0,0,0,0,0,0,0,7.23,0,0
