stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0
 14-21,0,0,0.92,0,0,0.98,0,0,0,0,0.85,0.91,0,0.86,0.88,0.85,0
 24-34,0,0,0,1.67,0,0,0,0,0,0,3.47,0,0,2.96,0,2.38,0
 36-46,0,8.98,0,0,0,0,0,0,0,0,0.57,0,0.71,0,0,0,0
 48-58,0,6.57,0,0,0,0,0,0,0,0.55,0,0,0,0.74,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,1.99,0,0,1.88,0,0,0
 72-82,0,0.93,0,0.75,0,0,0,0,0.62,0,2.06,0,0,2.51,0,0,0
 84-94,0,1,0,0.78,0,0,0.66,1.32,0,0,1.87,0,3.67,1.37,0,0,3.77
 96-106,0,0.63,0,0,0,0,0,0,2.36,0,0,0,0,1.29,0,0,0
108-118,0.42,4.67,0,0,1.72,0,2.08,0,7.33,0,3.23,0,0.62,0.51,0,0,0.47
120,0,0,0,0,0,0,0,0,6.57,10.52,0,0,0,2.97,0,10.24,0
