stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,407.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,0,0,0,0
  5-6,9.98,567.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0
  7-9,14.14,26.11,0,30.63,0,0,181.66,0,0,0,0,0,11.91,0,0,0,0,0,0,0,0,0,0,0,1432.83,33.26,0,0,338.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,82.14,0,95.76,0,5.97,198.54,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,2535.2,179.62,0,0,626.55,0,0,10.94,14.91,113.27,0,0,3.28,0,0,0,0
 14-21,0,0,0,4.07,118.62,39.59,51.56,0,0,0,296.45,4.6,1.44,1.23,0,0,0,0,0,0,65.4,0,0,32.9,793.63,43.76,0,52.94,33.58,0,0,5.33,118.81,212.75,2.27,85.45,823.65,0,0,0,0
 24-34,0,0,0.96,3.08,36.08,1.1,33.22,0,1.8,5.91,332.91,1.66,0,1.04,0,0,0,9.18,9.72,0.62,100.1,0,0,42.04,627.19,4.29,19.11,50.19,0,0,5.11,0,0,145.61,0.82,18.21,604.32,0,2.62,0,0
 36-46,0,0,0.95,0,10.46,0,22.25,0,0.64,6.39,184.02,0.73,0,0,1.03,0,0,5.34,1.29,0,61.33,0,0.86,19.11,335.36,3.26,18.89,29.83,0,0,1.05,0.73,0,91.76,0,0,327.6,1.04,0,0,0
 48-58,0,0,0.88,0,12.29,0,29.4,0,0,4.27,145.65,4.65,0,0.67,0,0.37,0,6.11,0.87,0,114.8,0.5,1.04,15.94,151.92,0,21.12,17.71,0,0,2.31,0,0,27.43,0,0,268.01,0,0,0,0.47
 60-70,0,0,0,0,2.93,0,18.41,0,0,1.47,104.95,2.35,0,0,0,1.79,0,8.91,2.74,0,132.56,0,6.11,15.61,73.25,0,31.7,30.83,0,0.71,0.88,0,0,14.61,0,0,112.26,0,0,0.71,0
 72-82,0,0,1.62,0,3.23,1.23,25.81,0,0,2.85,97.72,2.66,0,0,0,0.54,1.62,14.32,4.39,0,104.69,0,1.69,8.86,83.77,0,32.89,51.17,0,0,2.56,0,0,14.2,0,0,54.19,2.52,1.19,3.08,0
 84-94,0,0,6.32,2.57,11.17,0,26.15,0,0,1.43,79.98,4.6,0,0,0,1.78,0,16.53,6,0,106.07,0,1.9,4.82,52.15,0.84,48.71,60.24,0,0,0.66,4.2,0,19.09,0,0,65.96,2.93,2.79,5.38,0
 96-106,0,0,3.08,3.98,1.17,1.44,28.49,0.64,0.62,1.39,70.05,8.42,0,0,0,1.39,0,17.98,0.6,0,61.42,2.77,2.18,8.21,42.12,0,65.06,54.38,0,0,0,0,0,20.79,0,0,54.98,0.57,0,0.88,0
108-118,0,0,3.9,1.3,3.52,0,14.23,0,0,0.66,57.5,3.87,0,0,1.48,0,0,14.65,0.67,0,59.16,0,0,6.18,31.7,0,54.51,51.21,0,0,0.64,0,0,20.04,0,0,39.42,0,0.85,2.02,0
120,0,0,1.37,3.17,3.03,0,21.7,0,2.08,0,54.78,15.08,0,0,1.38,0,0,13.04,4.56,1.55,22.4,0,0,3.21,73.02,0,56.35,75.78,0,0,13.64,0,0,43.73,0,0,17.19,3.03,0,5.15,0
