stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,21.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,50.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,14.59,0,9.15,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.3,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,43.06,0,0,0,74.52,0,0,0,6.74,0,0,0,0,0,0,0,0
 14-21,0.89,0,1.88,9.19,3.37,1.85,0,0,0,1.64,0.82,0,0,0,0,0,0,0.94,4.43,0,17.54,33.09,2.98,0,0.96,9.72,3.65,0,19.67,21.8,134.49,263.04,16.19,0,0,8.53,0,0.89
 24-34,0,0,0.79,13.2,2.17,6.54,0,0,0.78,0,0,0,1.88,0,0,1.71,0,0.67,10.93,3.08,5.55,30.17,0.84,0,0,0,0,0,0,11.96,19.32,64.9,0.83,0,0,94.34,0,8.94
 36-46,0,0,0,13.98,0,4.53,4.83,0,0,0,0.83,0,0,0,0,2.16,0,12.54,7.6,0.68,2.1,42.48,0,0,0,0,8.17,0,0,3.18,4.25,1.39,0.77,0,0,33.33,0,8.8
 48-58,0,0,0,9.41,0,4.93,0,0.47,0.41,0,0,0,0,0,0.46,5.27,0,0.79,5.17,0.81,3,9.5,0.44,0,0,0,0,0,0,1.68,0.48,0,0,0,0,25.72,0,18.15
 60-70,0,0,0,1.68,0,6.45,7.77,0.81,1.69,0.69,0,0,9.71,0,5.93,1.95,0,2.69,3.95,8.16,4.39,13.39,0,0,4.45,0,0,0,0,0.73,7.34,0,0,0,0,23.41,0,10.38
 72-82,0,0,0,9.04,1.23,7.41,0,0.58,0,10.26,0,0,6.97,0,1.9,3.77,0,0,7.87,1.83,3.95,14.26,0,0,0.53,0,0,0,0,0,0,0,1.02,0,0,32.58,0,19.98
 84-94,0,0,0,13.81,0,7.19,1.89,1.92,0,0.86,2.92,0,13.5,1.02,14.59,20.08,0,0,7.03,3.32,7.86,13.02,0,2.32,0,0,1.42,0,0,0,0,0,0,1.44,1.07,30.86,0,18.65
 96-106,0,0,0,7.48,0,10.39,0.62,1.41,0,5.13,4.86,0,14.29,0,13.57,19.99,0,0.77,21.96,1.61,3.07,38.09,0,0,0,0,0,0,0,0,0.68,0,0,0.59,0,29.89,0.93,27.67
108-118,0,0,0,15.9,1.98,16.16,3.67,0.56,2.9,7.72,1.29,0,10.9,1.13,4.23,9.22,0,0,23.71,2.64,13.89,29.7,0,1.9,0,0,0.57,0,0,1.86,2.42,0,0,0.96,0,38.45,0,66.09
120,0,0,0,6.6,0,7.16,1.95,15.36,0,7.17,2.62,0,11.62,0,0,7.34,1.42,0,12.53,0,7.85,34.08,0,0,0,0,1.24,0,0,0,1.32,0,0,0,0,29.86,0,13.54
