stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,9.59,120.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0,0,0,0
  5-6,6.94,29.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.52,0,0,0,3.88,0,0,0,0,0,0,19.97,0,4.81,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.21,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.72,1.89,0,0,1.09,1.09,0,0,0,0.89,0,8.09,0,0,0,0,0.93,0,0,5.95,0,0
 24-34,0,0,0,0,1.45,0,0,1.64,0.85,0,0,0,2.1,0,44.52,0,0,0,0,0,0,0,8.47,1.12,2.07
 36-46,0,0,0,0,0,0.57,0,2.06,2.51,0,0,0,3.34,2.3,33.37,0.65,0,0,0,0,0,1.12,4.89,0,0
 48-58,0,0,0,0,0.77,0,0,13.37,1.06,0,0,0,1.16,1.78,21.33,0,0,0,1.19,0,0,0,3.13,0,0
 60-70,0,0,0,0,0,0,0,13.08,2.64,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.86,0,0,0,0,14.18,1.65,0,0,0,10.87,0,13.37,0,0,0,0.94,0,0,0,0,0,0
 84-94,0,0,0,0,0.64,0,0,2.74,0.68,1.21,0,1.49,9.31,0,12.26,2.48,0,0,1.96,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.88,0,0,0,0,2.62,0,9.95,0,0,1.47,0,0,0,0,0,0.58,0
108-118,0,0,0,0,0,0,0.42,7.96,3.76,0,0.94,1.06,2.6,0,15.04,1.64,0,0,0,0,0,0,0.96,0,0
120,0,0,0,0,0,0,0,11.18,5.36,0,0,0,0,0,13.37,0,0,0,0,0,3.15,0,0,0,0
