stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,141.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848.79,0,0,0,0,0,0,0
  5-6,100.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958.43,0,0,0,0,0,0,0
  7-9,0,0,0,3.92,0,0,0,9.6,0,0,0,0,0,0,0,0,46.52,6.27,29.36,262.32,0,0,0,0,0,0,0
 10-12,0,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,71.01,0,33.88,67.98,0,0,4.18,0,0,0,0
 14-21,0,1.86,0,0,0,0,0,0,0,1.26,3.58,1.13,1.3,0,0,1.2,8.35,0,0,80.55,0.9,2.5,0,0,2.1,2.58,0.9
 24-34,0,2.09,0,5.28,0,0,0,0,0,0,1.07,0,2.47,0,0,2.53,22.41,2.26,0,2.19,0,0,0,0,0.63,1.79,1.56
 36-46,0,0,0,2.05,0,0,0.66,0,1.7,0.7,0,0,2.52,0,0,1.28,10.11,0,0,0,0,0,0,1.24,0,4.14,0
 48-58,0,0,0,8.26,0,0,0,0.54,0,0,0,0,0.88,0,1.43,0.38,6.89,0,0,0,0,0,0,0,0,1.6,0
 60-70,0,0,0,0,0.81,1.45,0,0,0,0,0,0,0.71,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.57,3.27,0,1.46,0,0,0,0,0,0,7.51,0.88,0,0,5.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.22,0,1.74,0,0.65,0,0,0,0,0,0,0.56,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.68,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0.71
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0.63,2.42,0,0,0,0,0,0,0,0,0,1.31
120,0,0,0,0,0,19,0,0,0,0,0,0,14.83,0,0,0,3.77,0,0,0,0,0,0,0,0,0,0
