stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,37.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.35,4.43,0,0,210.61,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,17.09,0,18.38,0,11.1,0,0,0,0,0,20.13,0,0,0,0,0,0,0,0,0,162.92,38.04,0,0,875.3,0,0,4.94,25.72,12.05,0,13.46,0,0,0,0,0,0
 14-21,0,3.9,0,50.53,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,14.63,83.31,0,0,0,0.83,0,0.98,0,338.5,0,1.26,218.06,32.37,0,0,0,0,0
 24-34,0,4.62,0,15.68,0,8.38,1.8,0.83,4.93,0,0,0,0,0.6,0,0,0,22.13,0,13.45,578.78,0,2.59,25.62,0,0,0,0,0,0,0,20.48,161.45,0,0,0.79,0,0
 36-46,0,5.41,0,3.05,0,3.98,1.85,1.55,15.33,0,0,0,0,0,0,1.16,0,32.18,0,5.52,678.12,0,5.06,12.74,0,0,2.69,0,0,0,0,0.69,245.26,0,0,2.45,0,0.65
 48-58,0,9.71,0,13.06,0,16.26,1.25,0.72,15.71,0,0,0,0,0,0,4.68,0,27.36,0,5.35,792.79,0,0.91,13.72,0,0,0,0,0,0,0,0,321.07,0,0,1.09,0,6.55
 60-70,0,11.31,0,0,0,51.24,0,0,3.8,0.6,0,0.65,0,0,0,3.34,0,41.64,0,0,1434.94,0,2.15,7.84,0,0,0,0,0,0,0,0,240.27,0,0,2.2,0,0
 72-82,0,9.35,0,7.04,0,88.43,0,2.48,15.13,4.74,0,3.86,0,0,0,3.31,0,38.56,0,0,1164.95,0,0,12.65,0,0,0,0,0,0,0,0,128.84,4.47,0.73,5.43,3.2,5.56
 84-94,0,2.32,0,7.12,0,83.74,0,0,18.79,13.05,0,0,0,0,0,5.61,0.83,43.56,0.73,0,760.87,0,1.31,10.42,0,0,0.82,0,0,0,0,0,52.2,7.54,3.66,0,0,0.59
 96-106,0,2.88,0,6.06,0.69,55.98,0,1.31,16.68,12.31,0,1.7,0.65,0,0,1.04,9.42,17.24,1.41,4.27,635.22,0,0,3.56,1.2,1.33,0,0,0,0,0,0,32.06,5.12,1.2,0,4.31,2.76
108-118,0,7.96,0.74,18.96,0,88.01,0,2.11,26.96,2.2,0,0,0.61,0,0,3.56,0,20.39,1.44,0,700.14,0,12.78,6.88,0,0,0,0,0,0,0,0,23.85,16.65,0,0.69,0,5.54
120,0,0,0,15.11,0,170.51,0,0,36.73,7.89,0,4.47,7.08,0,11.11,0,0,20.76,0,4.34,1476.12,0,0,4.46,0,11.51,4.07,0,0,0,0,0,33.92,2.76,3.38,11.64,0,0
