stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature
  5-6,15.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.07,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,3.07,0,0,0,0,0
 14-21,0,0.82,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,3.88,0,1.58,7.29,1.68,0,0,613.72,0,0.83,0,0,0
 24-34,0,3.65,0,0,0.87,0,0,0,13.49,0,0,2.05,0,1.64,0,0,1.49,0,0,33.03,0,4.5,0,380.67,1.73,0,2.45,0,2.61
 36-46,0,11.65,0,0,3.08,0,0,0,5.36,0,0,0.98,0,5.11,0,0,0.63,0,0.93,18.34,12.83,18.11,0.57,196.85,7.5,0,1.68,0,0
 48-58,0,68.55,0,0,2.55,0,0,0.92,9.07,3.2,0,0,0,13.37,0,4.62,0.52,0,1,25.91,0,5.6,0,155.19,1.17,0,6.43,0,0
 60-70,0,65.19,0,0,11.33,1.4,0,2.29,2.47,2.19,0,0,9.62,23.27,0,2.75,1.09,0,0,32.55,0,7.52,0,117.91,3.52,0,4.7,0,0
 72-82,0,61.7,0.5,0,2.68,0,0,2.15,10.69,3.9,0,4.11,0,63.41,1.39,6.31,3.29,0,0,19.99,0,7.88,0.53,68.57,0.71,0,1,0,1.89
 84-94,0,96.25,0.86,1.17,18.3,0,0.7,0,31.66,5.73,0.71,5.18,0,96.38,0,5.14,0,0,0,2.28,0,36.41,0.58,113.94,13.36,0,0,1.45,0
 96-106,0,42.54,0,3.76,16.94,1.33,0,20.99,112.7,2.38,0,26.54,0,149.25,0.83,2.5,1.55,0,1.41,32.78,0,69.8,0,74.73,17.81,0,2.12,7.58,0
108-118,0,28.33,2.1,0,7.66,2.12,1.84,1.21,137.52,0,0,8.29,0,102.57,1.87,12.67,0.42,3.97,0,21.57,0,32.25,0.53,106.11,18.03,0,0,0,0
120,0,14.38,0,0,12.7,0,0,4.27,65.4,0,0,5.25,0,57.88,5,1.36,0,0,0,10.45,1.24,23.04,0,45.02,5.74,0,0,0,0
