stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,87.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.13,0,0,0,3.56,0,8.28,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.62,0,0,0,11.99,0,0,0,0,0,0,0,4.33,0,0,0,0
 14-21,0,1.69,0,1.9,0,0,10.86,0,0,0,0.98,0,0,0,0,0,0,16.7,0,0,0,0,161.65,0,0,0,0,0,0,0.91,0.85,0,2.08,0.96,12.78,0,0.91,0,0
 24-34,0,0,0,0.61,0,0,1.34,0,0,0,1.35,0,0,1.19,0,0,0,0,17.32,0,0,4.6,104.17,1.04,1.21,0.68,0,0,0.66,0.86,0,0,0,0,7.88,0,0,0,0
 36-46,0,3.4,0,0,0,0,5.09,0,0,0,0,0,0,1.89,0,0,0,0,8.52,0,0,1.47,163.56,0,1.69,0.62,0,0,1.57,1.89,0,0,0,0,12.73,5.7,0.56,0,0
 48-58,0,2.67,0,11.73,0,0,28.04,0,0,0,6.12,0,0,4.15,0,0.58,0,0,29,0,0,1.37,72.3,0,1.25,0,0,0,0,0.65,0,0.56,0,0,18.03,0,0,0,0
 60-70,0,9.99,0,2.07,0,0,164.53,0,0,0,14.2,0,0,8.5,0,0.58,0,0,27.8,0,0,5.97,373.74,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,5.7,0,7.09,2.87,0,342.48,0,2.22,0.91,25.03,0,0.81,8.41,0,3.58,0.84,0.96,51.92,0,0.55,0,325.82,0,0,0,0,0,1.16,0,0,0,0,0,5.87,1.43,1.08,0,8.58
 84-94,0,7.45,0,0.57,0,0,278.81,0.85,0,0,52.74,0,0,28.77,0,48.93,0,3.14,62.66,0,0,0,203.47,0,0,0,0,2.02,1.23,0,0,1.49,0,0,6.16,0,0.89,0,0
 96-106,0,9.9,0,10.17,0,0,227.22,0,2.17,0.81,9.7,3.97,0,29.97,0.88,10.35,1.71,9.4,28.86,0,0,0.9,554.91,0,3.76,0,0,0,8.27,0,0,3.34,0,0,22.84,0,0,0,9.2
108-118,0,8.58,0.74,13.37,0,1.38,498.17,0,0,0.56,46.26,0.47,0,34.53,0.72,15.47,0,0,39.21,7.05,2,1.6,605.21,0,0,0,0,0,0,0,0,0.97,0,0,9.2,0,0,1.65,0
120,0,14.94,0,18.66,10.45,0,628.31,0,0,0,15.16,0,0,22.58,0,8.35,0,0,45.5,0,0,1.59,1248.97,0,0,1.05,0,0,2.59,0,0,0,0,0,58.71,0,1.35,0,0
