stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.96,72.46,5.8,0,14.63,0,0,0,5.22,0.81,0,1.22,0,4.72,0,0,0,0,7.65,0,7.68,206.15,7,0,14.6,15.09,0,11.4,41.35,0,1.37,29.91,102.95,0,0,0,0,0
 24-34,0,0,0,0,0,4.67,0,0,1.61,2.78,0,0,0,0,0,0,0,0,0,10.11,0,3.09,41.93,2.61,0,0,0,0,12.28,0,0.65,0,0.7,18.14,0,0,7.75,0,0
 36-46,0,0,1.46,0,0,0.63,0,0.8,0,1.26,0,0,0,0,0,0,0,0,0,27,0,3.82,30.78,0,0,0,0,0,5.44,0,0.74,0,0,12.64,0,0,1.3,0,0
 48-58,0,0,17.28,0,0,6.47,0,0.41,0,6.5,0,0.7,0,0,3.71,0,0,7.45,3.8,21.13,0.41,2.31,49.7,5.28,0,0.64,0,0,0.49,0,0,0,0,5.1,0,0,3.85,0,0
 60-70,0,0,10.52,0.84,0,17.94,1.37,1.81,2.25,2.48,1.29,0,0,0,0,0,0,0.82,0,24.17,0,2.69,129.11,0,0,0,0,0,0.96,0,0,0.67,0,18.46,0,0,2.1,0,20.76
 72-82,0.49,0,5.01,0.81,0,10.64,0.55,0,1.54,9.27,0.7,0,0,0,0,0,0,0,0,24.61,0,5.14,91.92,0,1.38,0,0,0,0.56,0,0,0,0,0,0.5,0,2.07,0.52,0.67
 84-94,0,0,5.79,0,0,21.39,0,0,0.83,13.93,0,0,0,0.81,0,0.82,0,0,0,29.85,0.57,0.69,85.13,0,0,0,0,0,2.39,0,0,0.73,0,0,0.57,0.88,5.28,0.63,0
 96-106,0,0,1.55,7.87,0,29.37,0,3.44,2.8,12.02,0,0,0,0,0,0,0,0,0,27.66,0.76,3.93,90.22,7.94,0,0,0,2.45,4.01,0,0,8.07,0,0,0,1.26,1.05,3.88,1.4
108-118,0,0,5.62,0.87,0.53,39.19,0,0,1.72,12.76,0.69,0,0,0.59,0,0.52,0.61,1.48,1.34,24.14,0,1.78,78.97,1.31,0,2.3,0,0,7.82,0,0.5,1.34,0,4.42,0,0,4.53,0.83,10.95
120,0,0,1.45,0,0,30.41,0,0,2.83,34.96,4.35,0,0,0,0,0,0,0,0,11.42,10.83,0,172.22,2.06,0,0,0,0,2.27,0,0,0,0,0,0,0,0,0,0
