stage,axial,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,4.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,6.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.41,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,1.05,1.17,0,0,0,0,0,0,0,1.04,0,0,3.83,0,0,0,0,0,0.93,2.67,1.9,0,0
 24-34,0,0.6,1.47,1.27,0,0,0,0,0,0,0,0,0.91,0,0,2.2,0,0,0,0,0,0,0,4.42,0,0
 36-46,0,0,0,0,2.71,0,0,0,0,13.33,0,0,1.79,0,0.68,1.95,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,5.33,0,1.05,0,0,0,0,0,0.66,0,0,5.74,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,7.51,0,0.94,0,0,0,0,0,0.97,0,0,2.62,0,0,0,0,0,0,0,5.41,0,0
 72-82,0,0,2.33,1.11,2.62,0,0.89,0,0.52,0,0,0,9.29,0,0,14.67,0,0,0,0,1.54,0,0,0,0,0
 84-94,0,0,1.17,2.4,5.93,0.84,0.94,2.41,0,0,0,0,0.75,0.84,0,3.34,0.74,0,0,0,1.09,0,0,0,0.97,0
 96-106,0,0,2.47,0.82,2.71,0,3.93,0,1.06,0.97,0.62,1.08,3.7,0,0,0,0,0,2.41,0,1.95,0,0,0,0,0
108-118,0,0,0.9,4.05,12.95,0,0,0,0,0,0,0,2.67,0,0,1.8,0,0.84,0,0,0.47,0,0,0,0,0.91
120,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,9.86,0,1.09,0,0,0,0,0,0,0,0
