stage,blastomeres,eye,fast.muscle,glial,gut,mesenchyme,muscle,neural,periderm,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.07,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,19.84,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.96,0,0.9,0,2.87,0
 24-34,0,0,0.69,0.67,0,0,6.94,4,0,0,1.19,0.97,0
 36-46,0,0,12.69,0,0,0,0,1.34,0,0,0,4.55,0
 48-58,0,3.26,12.17,0.8,0,0,0.6,2.82,0,3.62,0,0,0.37
 60-70,0,12,7.67,0,0,0,6.02,1.14,0,1.71,0,7.88,0
 72-82,0,0.54,6.18,0.91,0,1.31,0,7.35,0,0,0,0,0
 84-94,0,0,1.72,0,0,0,0.72,4.07,0,0.59,0,0,0
 96-106,0,7.81,1.64,0,1.02,0,0,2.86,5.27,0,0,0,0
108-118,0,5.63,1.25,0,0,2.66,0,0,0.45,0.46,0,0,0
120,0,0,25.03,3.92,0,0,11.84,4.26,0,0,0,0,0
