stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.07,396.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,144.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.09,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.35,13.35,0,236.18,0,0,26.41,0,0,0,0,0,103.16,0,0,0,0,0,0,0,0,0,0,183.67,37.04,0,0,42.58,0,0,11.18,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,4.98,0,63.5,0,0,13.52,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,173.68,52.25,0,0,43.78,0,0,0,0,10.11,0,4.93,0,0,0,0,0,0
 14-21,0,0,0,0,21.41,52.59,7.42,0,0,0,2.02,1.14,0,1.92,0,0,1.77,0,0,32.09,0,0,61.5,189.49,1.16,6.18,1.78,1.71,0,0,0,13.34,1,0.95,60.37,42.03,0,0,19.7,0,0
 24-34,0,0,0,0,7.76,6.98,21.83,0,0.61,2.57,13.85,0,0,1.81,2.16,1.03,4.48,0,0.66,84.95,0.74,0,71.88,448.64,3.67,8.83,12.64,0,0,2.11,0,1.58,0.93,1.69,8.6,109.85,0,0,97.48,0,9.44
 36-46,0,0,0,0,4.2,0,15.53,0.68,0,1.37,58.07,1.39,0,1.28,2.48,0,1.76,0.67,14.77,112.85,0,0,40.92,372.24,2.35,6.15,3.91,5.14,0,0,0,1.05,0,0,0,136.14,0,0,70.48,0,5.81
 48-58,0,0,0,0,4.77,0.45,21.33,2.15,0,1.82,109.77,0,0,2.39,5.37,0.4,0,0,13.58,76.91,0,0,21.49,229.22,0.88,5.09,1.01,0,0,3.24,0,0,0,0,2.82,74.56,0,0,40.94,0,21.61
 60-70,0,0,0,0,13.16,0,45.46,0,0,0.59,250.45,0,0,1.43,19.81,0,0,1.2,3.52,98.54,0,0,15.35,243.32,9.86,0,0.95,0,0,0,0,0,4.15,0,0,80.68,0,0,26.74,0,50.77
 72-82,0,0,0.71,0,1.52,7.12,43.73,1.12,0,3.29,274.46,0,0,4.6,14.87,0,2.43,0,6.95,82.59,0,1.62,15.12,164.47,0,0,1.71,0,0,3.54,0,0,0,0,0,32.88,0.87,3.86,87,2.29,36.66
 84-94,0,0,0.56,0,1.42,1.21,141.55,0.56,0,1.75,255.68,0,0,0,44.97,0,0,1.2,32.75,127.86,0,8.14,11.63,124.76,0.56,0,2.77,0,0,0,0,0,0.94,0,0,66.71,0.71,0,103.56,6.19,32.2
 96-106,0,0,0,0,4.53,0,46.55,1.05,0.59,0,290.63,0,0,3.93,46.48,1.38,0,0,16.51,114.24,0,3.18,6.65,119.2,2.2,0,4.77,0,0,3.3,0,0,0,0,0,19.02,0,0,92.49,3.42,13.97
108-118,0,0,0.8,0,0,1.13,59.78,0,0,0.7,351.11,0.56,0,2.03,36.33,3.17,0,9.33,43.42,89.07,0,1.03,13.85,216.79,2.09,0,5.19,0,4.84,0.54,0,0,0,1.15,0,9.78,1.12,0,58.58,4.82,34.52
120,0,0,0,0,16.3,2.22,33.38,5.69,1.12,0,582.81,0,0,5.85,53.49,0,0,0,26.15,149.44,0,0,16.41,304.63,0,0,11.85,0,0,0,0,0,0,0,0,23.68,0,0,88.19,35.05,0
