stage,eye,neural,otic,periderm,spinal_cord,xanthophores
 14-21,1.04,0,0,0,0,0
 60-70,0,0.83,0,0,1.56,0
 72-82,2.83,0,0,0,0,0
 96-106,0,0.66,1.43,0,0,0
108-118,0,1.84,0,2.23,0,1.39
