stage,eye,fin.mesenchyme,glial,heart,immune,iridophores,mesenchyme,muscle,neural,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,3.42,0,0,0.93,0
 24-34,0.66,0,0,0,0,0,0.77,0,1.16,0,0,0,0
 36-46,0,0.6,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.44,0,3.26,0,0,0.69,0
 60-70,6.07,0,0,0,0,0,0,0,4.22,0,0,5.44,0
 72-82,1.37,0,0,0,0,0,1.12,0.56,2.76,0,0,0,0.98
 84-94,2.38,0,0,0,0,0,1.61,0,3.04,0,0,0,0.57
 96-106,0,0,0,0.86,0,0,0,0,5.26,5.7,4.5,0,0
108-118,0,0,0.95,0,0,0,0,0,5.53,0,0,0,0
120,3.43,0,0,0,2.66,2.62,0,0,6.59,0,0,0,0
