stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43,0,0,0,0,0,0,0,0
 14-21,1.69,0,1.19,0,0,0,1.16,0,0,0,0,0,0,0,0,0,18.87,0,3.47,0,0,0,13.67,0,0
 24-34,0,1.28,0,0.72,0,1.71,0.66,0,2.16,0,0,0,0,0,0,0.62,242.76,0,1.57,0.64,0,0.75,55.89,2.41,0
 36-46,1.72,0.94,0,48.1,0,0,4.38,0,0,0,0.61,0,0,2.4,0,0,618.86,0,1.58,1.46,0,0,106.19,0.75,0
 48-58,0,5.23,0,282.6,0,0,18.58,0,0,0,0,0,0,16.63,0,0,979.73,0,0,1.22,0,0,162.47,1.31,0.63
 60-70,0,0,0,951.07,0,0,24.24,0,0,0,0,0,0,4.99,0,2.29,1158.49,0,0,0,0,0,173.37,0,3.3
 72-82,0.71,4.12,0,1076.23,0,0.79,22.06,0.69,0,0,2.96,0.83,0,14.53,0,0,1157.22,0,0,5.08,0,0,111.61,2.08,0.63
 84-94,0,5.05,2.8,629.04,0,0,16.62,0,0,0.65,0,0,0,6.93,4.75,2.23,681.98,0,0,0,0,0,67.59,2.37,0
 96-106,2.04,2.18,0,344.9,0,0,20.85,0,0,0,1.6,0,0.67,10.66,0,4.12,634.63,0,0.57,0,0,0,34.26,0,0
108-118,0,9.86,0,334.54,0.42,0,11.71,0.58,0,0,2.25,0,0,14.26,0,0,478.78,0,0.64,0,0.52,0,18.75,0,0
120,0,2,0,240.25,0,0,17.75,0,0,0,0,0,0,3.93,0,1.5,558.44,3.89,0,0,0,0,9.57,0,0
