stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,lateral.line,mesenchyme,neural,presomitic.mesoderm,spinal.cord,vasculature
  5-6,7.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,15.47,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.33,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.71,0.85,0,0
 24-34,0,0,0,0,0,0,0,0,7.58,0,0,0
 36-46,0,0,0,2.52,0,0,0,0,1.11,0,0.67,0
 48-58,0,0,0,1.58,0,0,0,1.1,2.46,0,0,0
 60-70,0,0.71,0,5.4,0,0,0,0.89,1.25,0,0,0
 72-82,0,0,0,1.19,0,0,0.72,0,2.93,0,0,0
 84-94,0,0,0,1.28,0,0,0,0,0,0,0,2.23
 96-106,0,0,5.97,0,1.57,0,0,2.9,0,0,0,0
108-118,0,0,0,0,4.63,0.78,0,0,0,0,0,0
120,0,0,0,1.8,0,0,0,0,0,0,0,0
