stage,blastomeres,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.85,5.7,0,0,0,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,2.71,0,0,0,0.88,0,0.85,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.89,20.5,0,1.68,0,0,0.6,5.61,0,0,0
 36-46,0,0,0,1.43,0,0,0,0,0,0,0,37.78,0,0,0,0,0,5.83,0,0,0
 48-58,0,3.34,0,10.08,1.83,0,0,0,0,0,0,65.88,0,1.38,0,0,0,1.6,0,0,0
 60-70,0,0,0.67,109.93,4.61,0,0,0,1.68,0,0,101.39,0,0,0,0,0,9.29,0,0,0
 72-82,0,1.23,0,78.06,3.11,0,0,0,1.42,0,0,130.66,0,3.19,3.23,2.57,2.36,4.21,0.52,1.04,0
 84-94,0,5.65,0,89.01,2.51,0,8.94,0,1.33,0.86,0,107.37,0,4.8,0,5.77,0,0,0,0,0
 96-106,0,2.62,0,64.56,2.84,0,0,0,6.54,0,0,112.59,0,2,0,6.74,0,0,0,0,0.85
108-118,0,6.37,0,87.12,12.07,0.71,0,1,3.29,0,0,81.33,0,0.41,0.84,11.73,0,0,0,0,0
120,0,18.62,0,111.97,0,0,0,0,8.88,0,0,191.56,0,5.68,3.14,5.17,0,0,0,0,0
