stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,91.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92,7.03,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,29.77,5.46,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,1.68,36.33,0,1,0,0,0,4.63,0,1.84,1.81,0,0
 24-34,0,0.94,0,6.09,0,0,0.89,0,0,0,0,0,0,0.95,4.19,0,5.13,117.05,0,1.25,3.55,0,0.86,0,0,1.42,18.09,0,1.38
 36-46,0,2.66,0,8.87,1.06,0.64,2.25,0,0,1.07,0,0,0,0,12,0,1.46,145.5,0,0,0.58,0,5.9,0,0,0,20.78,0,1.67
 48-58,0,0,0,31.57,0,0,20.62,0,0,4.33,0,0,0,0,14.2,0,0.96,96.14,0,0,0,0,0.95,0,0,0,9.5,0,2.43
 60-70,0,3.81,0,25.38,0,0,16.23,5.04,0,0,0,3.85,0,0,21.22,0,10.49,86.45,0,0,0,0,0.8,0,0.62,0,5.35,6.2,0
 72-82,0,0.61,0,24.88,0,0,11.43,0,0,0.59,0,0.61,0,0,11.5,0,0.8,44.31,0,0.93,0.49,0,2.8,0,0,0,0,1.33,3.84
 84-94,0,1.61,0,8.28,0,0,6.74,1.66,0,0,0,0,0,0,11.2,4.87,0,17.78,1.11,0.8,0,1.68,0.96,0,0,0,8.76,0,7.85
 96-106,0,0.88,0,12.33,0,2.38,3.19,0,0,0,0,0,0,0,18.52,0,1.46,12.99,0,0,0,0,0,0,0,0,0,2.06,0
108-118,0,0.59,0.51,9.73,0,0,5.77,1.95,0,2.18,1.91,2.24,0.44,0,19.24,0,1.13,12.1,0,0.83,0,0,3.57,0,0,0,0,0,0
120,0,5.11,0,13.22,0,2.41,28.6,1.68,1.85,3.99,1.18,1.6,0,0,59.22,16.1,0,58.44,0,2.89,0,0,8.44,0,0,0,0,6.5,8.45
