stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0
 10-12,3.32,0,17.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.96,0,0,0,9.22,0,0,0,14.97,0,0,0,0,0,0
 14-21,0,0,0,4.45,0,1.03,0,0,0,7.55,0,1.15,0,0,0,0,2.53,0,0,0.85,20.95,0.83,0,0.92,0,3,3.2,0,1.82,7.07,0,0,0,0,0
 24-34,0,0,0,0,0,14.26,0,0,4.08,0,0,2.56,0.6,1.73,0.96,0,6.23,0,0,2.1,127.37,0,3.12,0.67,0,53.03,0,0,0.62,21.16,0,0,10.44,0,0
 36-46,0,3.42,0,10.59,0,39.33,0,0,24.92,0,0,0,0,7.57,0,0,10.52,2.55,0,0,109.16,0,1.3,0.62,0,47.88,0,14.95,0,15.45,0,0,2.4,0,0.85
 48-58,0,0,0,0.46,0,40.09,8.22,4.8,40.69,0,0.54,0.51,0,0,5.43,0,19.27,7.16,0,9.14,121.54,0,1.49,8.6,0,43.24,0,0,0,13.63,0,0,1.54,0,0
 60-70,0,0,0,7.82,0,43.01,0.8,3.32,28.46,4.75,0,0,1.03,0,0,0,18.45,1.91,2.22,0,100.08,0,1.44,0.83,0,37.03,0,0,0,10.69,0,0,4.19,0,0
 72-82,0,0,0,7.19,0,31.47,0,0.77,66.76,0,0,1.42,0,0,0.81,0,57.19,1.01,2.07,0.9,71.43,0,0,7.54,0,15.06,0,0,0,0,0.71,0,6.68,2.52,0
 84-94,0,0.7,0,2.94,1.04,23.12,0,1.29,26.56,0.9,0,0.88,4.16,0.82,1.43,0,70.79,7.38,0,2.34,48.01,0,2.51,10.72,0,59.79,0,1.74,0,1.62,1.6,0,8.03,0,0
 96-106,0,0.61,0,2.3,0,41.82,0,1.05,21.62,0.86,0,0.96,0,0,1.72,0,57.34,3.51,0.58,0,52.7,0,0,0.74,0,77.52,0,0.7,0,0,0.61,0,10.76,0,0
108-118,0,0,0,5.65,6.91,16.48,2.32,0.5,48.49,3.05,0,0.83,2.56,9.11,1.05,0.63,105.72,9.13,10.22,2.09,75.76,0,6.09,12.4,0,101.09,0,2.38,0,5.56,1.53,2.05,21.35,1.76,0
120,0,3.52,0,73.49,0,14.67,3.38,23.58,195.64,0,0,6.55,15.03,2.21,4.45,0,425.39,3.67,23.93,16.58,301.14,2.06,24.11,34.29,0,117.36,0,1.12,0,0,0,0,8.07,0,0
