stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,80.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,53.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.65,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.15,0,1.51,0,0,0,1.71,3.13,51.99,0,0,0,0,0
 24-34,0,0,7.4,0,1.28,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,3.03,693.06,0,32.99,0,0,0.75,2.18,0.59,127.69,0,0,5.69,0,0
 36-46,0,0,3.84,0,0.92,0,0,19.2,0,0,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,1358.38,0,34.46,8.17,0,2.57,5.98,0,236.68,0,0,2.85,0,2.71
 48-58,0,0,2.21,0,12.83,0.59,0,121.64,0.92,0,0,12.95,0,0,1.02,0,0,0.85,0,0.83,23.17,0,0,0.64,1848.99,13.2,14.75,0,0,1.28,0.95,0,241.81,0,0,0.45,0,9.85
 60-70,0,0,1.53,0,5.12,0.77,0,404.79,1.58,0,0,19.94,1.87,0,0,5.28,0,0,0,0,18.24,0,0,1.82,2979.77,0,18.3,0,0,0,0,0,286.07,0,0,15.69,0.81,10.45
 72-82,0,0,30.68,0,13.27,10.27,2.97,913.84,0,0.5,0,38.74,18.21,1.41,0,0.5,1.45,0.64,3.86,0,41.99,0,1.3,2.75,2609.19,0,13.52,0,0.71,6.94,0,0,124.18,3.18,0,12.43,0.96,0
 84-94,0,0,21.99,0,7.5,0,0,819.7,0,0,8.01,34.69,22.68,0,0.98,0,0.67,0,1.67,0,34.04,0,0,4.44,1627.85,0,13.83,0.69,0,1.66,4.2,0,83.23,13.97,2.15,1.99,0,2.32
 96-106,0,0,22.32,0,17.65,3.49,0,874.06,0,0.82,0,45.15,21.98,0,0.83,0.86,0.75,0,17.71,4.07,32.5,0,0,0.79,1514.66,0.62,16.66,0,0,14.8,0,0,81.9,8.21,0,1.31,0,8.89
108-118,0,0,14.56,1.06,23.28,1.92,0,974.55,0,0,0.59,37.11,15.01,0,1.98,0,5.15,0,0,0,20.45,1.27,0,2.63,1841.71,1.23,13.79,4.5,0,2.42,0.87,0,49.42,4.56,0,6.63,1.11,0.84
120,2.82,0,12.67,0,35.31,1.95,0,999.65,1.01,0,0,59.18,0,3.15,7.96,9.12,0,0,31.83,0,42.64,0,0,2.72,3263.71,0,9.9,0,0,10.86,1.21,0,62.34,0,0,0,0,0
