stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.29,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0
 10-12,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.66,0,0,0,41.12,0,0,0,13.86,0,0,0,0,0,0
 14-21,1.29,2.98,10.53,0,0,0,0,0,2.04,0,0,0,0,0,17.91,0,5.84,37.63,0,0,1.93,0,0,0,22.07,0,3.82,69.25,11.9,0,0,0
 24-34,0,3.14,0.76,0,0,0,0,0,0.67,0.98,0.73,0,1.47,0,12.59,0,13.3,62.68,6.58,2,5.07,0,0,0.82,0,0,0.95,8.57,5.82,0,0.66,0.63
 36-46,0,0,0,1.69,0,0,2.89,0,0,1.19,0,0,0,0,7.56,0,6.63,13.48,0.82,1.3,0,0,0,0,0,0,1.08,0.6,8.57,0,0.89,0
 48-58,0,2.48,0,0.55,0.38,5.35,5.55,0.97,0,0,0,0,1.87,0.5,18.87,0.52,7.54,7.22,0.41,0,0,0,0,0,0,0,0,0,7.06,0,0,0
 60-70,0,0,0,0,0.58,0,5.19,0.8,0,0,3.22,0,0,0,9.72,4.68,12.91,31.2,0,1.56,0,0,0,0,0,0,0.77,0,0,0,0,0
 72-82,0,0.49,0,5.25,0.92,0,1.27,1.84,0.51,0.82,1.41,0,2.46,0,33.69,0,6.13,9.07,0,0,0.79,0,1.53,1.94,0,0,0,0,0,0,0,0
 84-94,0,0.56,0.68,4.38,0,0,0.91,0.68,0,0.82,0.83,1.42,3.4,0,21.79,4.79,17.03,14.24,0,1.22,0.91,0,0,0,0,0,2.1,0,0,0,0,7.62
 96-106,0,1.29,0.72,1.74,1.19,0,1.01,20.95,0,2.8,2.8,0,3.33,0,32.97,0,5.8,14.94,0,4.9,1.74,0,0,0,0,0.61,0.68,0,0,2.7,1.31,0
108-118,0,1.95,0,0.88,1.86,0,1.7,0,0,0,3.89,0,0.43,0,17.84,2.9,13.93,16.56,0,1.36,5.21,0,3.32,0,0,0.5,1.16,0,0,0,8.68,0
120,0,3.18,0,0,0,0,0,5.06,0,0,14.84,0,3.31,0,11.84,0,20.99,43.07,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0
