stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,1.89,0,0,1.32,0,0,0.86,0,0,0,0,0
 24-34,3.32,0,1.64,0,0,0,0,0.68,0,0,41.23,0,0,0,19.08,0,0,45.56,5.54,0,2.93,0,0,0,0,0
 36-46,5.25,0,0,0,9.54,0,0,0.86,14.1,0,68.03,0,0,4.52,48.3,0,0,648.61,14.79,0,20.2,0,0,0,0,0
 48-58,1.19,0,0,0,0.47,0,0,1.52,13.76,5.21,2.6,0,0,0,28.73,0,0.4,176.29,2.11,0,3.49,0,0.51,0,0,0
 60-70,5,0,3.04,0,0,0,0,2.05,22.07,1.94,31.49,0,0,4,86.21,0,0,207.59,4.19,0,12,0,6.02,0.76,0,0
 72-82,0.98,0,0.52,0,0.55,0,0,22.71,0.65,0,15.56,0,3.49,3.84,58.02,0,0,47.05,5.72,0,1.45,0,0,20.64,0,1.35
 84-94,1.76,0,1.38,0,0,0,0,11.76,5.29,0,22.48,6.57,0,0,97.81,1.17,0,157.6,12.09,0,4.36,0.57,0,37.47,0,0
 96-106,20.72,10.74,5.48,2.9,3.74,2.5,7.43,97.42,0,1.17,26.8,4.53,0.99,1.75,114.28,1.11,0,92.09,54.03,1.43,23.21,0,0,347.86,0,0
108-118,20.98,2.37,14.4,0,0,0,1.92,110.29,0,1,36.18,0.97,0,8.26,106.13,0,1.25,47.09,20.6,0,22.5,0,1.76,277.71,1.1,0
120,67.28,0,32.94,0,0,3.99,0,110.19,0,0,25.95,11.75,0,0,89.95,0,0,48.7,2.6,0,2.61,0,0,109.17,0,0
