stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2.93,0,0,0,0,0,0,0,0,0,1.89,0,19.07,0,0,0,0,0.87,0,7.86,11.01,0,0,0,0
 24-34,2.28,0.87,0,0.63,0,0,0,0,0.65,0,3.53,6.31,87.02,0,3.36,0,0,0,0,1.32,18.17,0,0,2.48,0
 36-46,0.63,0.86,0,0,0,5.63,0,0,0.67,0.66,3.81,1.85,109.31,0,0,0,1.99,0,0,0,19.8,0,0,0,0
 48-58,4.61,4.7,0,0,0,7.12,0,0,1.03,0,2.71,0.43,58.51,0,0,0.56,2.19,0,1.3,0,22.51,0,0,0,0
 60-70,2.62,12.55,0,0,0,8.06,0,0,0.72,0,9.17,1.67,18.84,0,0.81,0,5.54,0,0,0,3.33,0,0,0,0
 72-82,0,0.72,0,0,1.64,9.81,0,0,0,0,18.76,0.8,14.6,0,0.51,0,5.76,0,0,0,0,0,0,0,0
 84-94,5.55,1.39,0,0,0,9.28,0,0,0,0,13.66,7.36,18.43,0.94,0,0,1.76,0,0,0,7.32,0,0,0,0
 96-106,0.64,4.89,0.57,0,0.65,6.62,1.3,0.68,0.82,0,12.23,1.28,4.83,0,0,0,0,0,0,0,0,0,0,0,0
108-118,1.73,2.15,0,0,0,4,0,0,0,0,2.55,3.2,14.35,0,0,1.8,8.96,0,0,0,0,0.77,1.71,0,2.67
120,3.72,0,0,0,0,1.26,0,0,0,0,10.2,1.82,0,0,13.74,0,3.08,0,0,0,14.95,0,0,0,0
