stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,28.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,9.13,0,0,4.04,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,0,0,4.81,0,0.95,0,0,17,0,0,0,0,7.64,0,0,0
 24-34,0,0.62,0,0.83,3.01,0,0,0,3.43,2.43,0,57.14,0,2.5,0,0,15.92,0,1.12,0
 36-46,0,0,0,0.67,19.59,3.64,1.39,3.76,4.73,0,1.58,104.43,1.67,0.61,0,0,26.58,0,0,0
 48-58,0,0,0,0,82.73,5.35,0,0,6.2,0,0,110.06,0,0.97,0,0,20.11,0,0,0
 60-70,0,0,0,0,123.01,11.73,0,0,11.32,0.6,1.48,144.94,0,0,0,0,6.45,0,4.86,0
 72-82,0,0,0,0,84.93,12.76,2.13,0,5.41,0,0,69.26,0,0,0,0,12.63,1.35,3.17,0.89
 84-94,0,0,1.95,0,73.93,1.69,2.41,0,8.3,0.96,0,63.26,4.44,1.09,0,0,2.85,1.05,0,5.2
 96-106,0,0,0.94,0,58.92,8.07,0,0,11.4,0,0,45.68,1.89,2.67,0,0,0,0,0,0
108-118,0,0,0,0,34.42,2.84,0,0,4.05,0,0,65.12,0,4.12,0,1.08,10.75,0,0,0
120,0,0,0,1.08,16.2,7.97,0,0,6.44,0,1.49,17.56,0,0,0,0,0,0,0,0
