stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord
  3-4,0,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,31.96,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,8.06,0,6.44,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.67,11.05,0,0,0
 14-21,0,0,0,0,0,0,0,1.76,0,8.56,0,0,0,2.01,3.12
 24-34,0,0,0.87,0,0,0,0,0.98,0,2.11,0,0,0.84,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0
 48-58,0,0,4.27,0,2.16,0,0,0,0.44,0,0,0,3.25,0,0
 72-82,0,0,0,1.4,0.8,2.3,0,0.73,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.87,1.03,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.74,0,1.73,0,0,0,0,5.32
108-118,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
