stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,25.66,0,0,0,7.13,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,28.74,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2.69,0,0,0,0,0,1.23,0,0,0,2.88,0,0
 24-34,0,0.81,0,0,0,0,0,0,0,0,0.82,0,35.34,0,1.36,0,0,0,0,0.68,0,1.81,4.85,0,0
 36-46,0,0,0,0.75,0.66,0,0.6,0,0,0,0.66,0,172.9,0.58,13.98,0,0,0,0,0,1.78,0,27.87,0,0
 48-58,0.4,3.23,0,8.12,0,0,2.01,0,0,0,0.62,0.73,296.78,0,9.65,0,0,0,0,0,0,0,19.5,0,0.37
 60-70,0.86,0,0,200.25,1.72,0.83,6.05,0,0,0,2.07,0.93,837.91,0,4.88,0,0,0,0,0,0,0,57.48,0,0
 72-82,3.07,0,0,166.58,0,0,13.27,0,0.67,1.03,14.43,0,515.77,0,13.76,1.42,0,0,0,0,0,0,30.43,0,1.81
 84-94,2.06,3.46,0,143.33,11.52,0,8.73,0,0,2.93,3.59,0,480.67,0,9.07,0,0,0,0,0,0,0,58.68,0.84,0
 96-106,0,1.66,5.91,166.24,0,0,22.11,1.11,0,0,7.29,0,377.53,0,5.6,1.1,0,3.88,0,1.63,0,0,10,0,3.22
108-118,2.07,7.46,0,114.14,0,0,27.25,0.41,0,0,4.59,0.51,425.96,0,8.34,0,0,0,0,0,0,0,10.12,0,0
120,1.22,2.4,0,103.77,0,0,32.91,0,0,0,0,0,677.88,0,13.13,0,0,0,0,2.39,0,0,2.1,0,0
