stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,9.2,0,0,0,58.36,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9.72,1.7,0,0,0,0,0,0,1.18,0,3.4,0,0,0,0,0,127.5,0,0,135.31,21.94,9.66,0,0,0,0,0,3.37,0,0,20.31,13.52,0,0,2.42,0,0
 24-34,0,0,0,4.11,0,0,5.12,0,1.69,0.76,5.06,0,0,26,0,0.85,0,0,0,463.09,0,0,186.58,41.93,38.19,0,0.72,0,9.71,0,0,0.98,1.43,0,4.8,0,0,3.62,0,0
 36-46,0,0,0,2.06,0,0,5.6,0,0,5.78,5.99,0,0,31.85,0,0,0,0,0,1004.95,0,4.09,214.78,115.45,50.78,0.6,1.55,0,1.69,0,0,0,0,0,10.41,0,3.08,2.79,1.55,0
 48-58,0,0,0,0.42,2,0,44.65,0,0,14.12,6.97,0,0,30.28,0,0,0,0,0,1593.24,0,22.59,187.71,164.82,5.36,0,1.01,0,2.12,2.94,0,0,0.44,0,14.12,0,16.88,0,1.29,0
 60-70,0,0,0,3.21,0.96,0,37.82,1.23,0,11.98,3.12,0,0,14.55,0,21.73,0,14.18,0,2331.22,0,87.87,176.9,177.73,17.28,0,0,0,77.05,5.4,0,0,0,0,4.95,0,56.56,4.77,7.3,10.85
 72-82,0,0.64,0,9.33,7.85,0,64.76,2.66,0,23.02,24.49,0,0,12.07,0,19,0,0,6.03,2711.86,1.02,131.18,199.02,138.29,0,0,0,0,102.52,4.28,0,0,0,0,10.11,0,121.48,7.53,32.83,0
 84-94,0,0,0,13.42,1.65,0,82.3,6.71,0,8.22,2.8,0,0,24.37,3.95,15.05,0,7.22,0,1807.95,0,147.97,102.83,67.25,1.07,1.17,0,0,82.56,5.66,0,0,0,0,1.41,0,63.21,6.5,33.42,0
 96-106,0,0,0,6.23,2.84,1.13,43.32,0,0.89,15.2,7.59,0,0,15.69,0,3.42,1.49,11.01,0,1596.65,0.97,111.95,98.09,127.37,0,2.42,2.59,0,151.96,11.59,0,0,0,0,1.76,1.68,107.31,2.26,19.09,0
108-118,0,0,0.49,9.25,1.71,0,37.42,0,1.16,8.86,10.78,0,0,8.02,1.06,12.47,0,0.65,0,1660.48,0,152.41,94.01,104.92,0,0,1.51,0,256.04,6.58,0,0,0,0,0.98,0,95.58,1.55,20.26,4.5
120,0,0,0,3.26,0,0,48.7,0,0,12.51,1.79,0,0,1.85,3.81,0,0,0,0,1672.89,9.06,116.04,91.15,83.11,0,0,0,0,269.68,0,0,0,0,0,0,0,138.96,0,26.6,0
