stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0
  5-6,8.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.27,0,0,0,0,0,0,0,0,16.49,0,4.98,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,8.97,0,0,0,0,0
 14-21,0,0.99,2.23,0,0,0,0,2.1,0,0,0,0,9.67,0,0,0,1.42,0,0,0
 24-34,0,0,1.2,0,0,0,0,17.28,0,0,0,0,20.72,0,0,0,0,6.81,0,0
 36-46,0,0,0,1.55,1.73,0,0.68,15.11,0,0,0,1.19,7.75,0.79,0,0,0,2.94,0,0
 48-58,0,0,0,0,0.99,3.78,0,16.26,2.21,0,0,0.66,7.7,0,0,0,2.23,0.45,0,0
 60-70,0,0,0,0,0,0,0,43.47,0,0.63,0,0,1.91,0,0,0,0,0,0,0
 72-82,0,0,0,0,3.24,0,0,42.32,0,6,0,0,4.19,0,0,0,0,1.14,0,0
 84-94,0,0,0,0,0,0,0,66.41,0,0,0,0,0.6,0,0,0,0,2.32,0,0
 96-106,0,0,0,0,0,0,0,89.66,1.05,2.52,1.32,0,6.97,0,0,0.64,0,2.95,0,0
108-118,0,0,0,0,0,0,0,74.12,0.95,0.62,0,0,3.93,0,0,0,0,1.39,0,0
120,0,1.21,0,0,1.6,0,0,72.58,0,0,0,0,0,0,0,0,0,7.88,2.94,3.15
