stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,23.51,5.19,14.99,0,0,1.94,0,1,2.45,0,0,0,0,6.97,0,6.39,139.34,4.06,0,1.9,3.23,0,13.77,18.35,0,12.07,30.45,0,3.38,0,0
 24-34,0,6.65,1.55,21.89,0,0,0,0,0,0,0,0,0,0,22.37,0,3.24,217.93,0.68,0,2.38,0,0,9.52,0,0.64,0,40.47,0,3.5,0,0
 36-46,0,0,0,49.49,0,0,19.78,0,0,0,0,0,1.05,2.4,10.67,0.8,1.6,205.24,0,0.79,0,0,0,6.25,0,0,0,51.12,0,0,0,0
 48-58,0,0,0,67.96,0,0,7.47,0,0,0,0,0.38,0,0,8.21,0.42,4.26,156.73,0,0.41,0.92,0,0,19.05,0,0,0,17.67,0,0,0,3.03
 60-70,0,5.03,0,68.82,0,0.83,3.87,0,0,0,0,0,0,0,16.37,6.12,0.93,77.85,2.27,0,0,0,0.71,0,0,0,0,11.26,0,0,0,0
 72-82,0,1.25,0.5,21.18,0,0,8.39,0,0,0,0,0,0,0,6.44,0,1.08,43.33,0,0,0.53,0,0,0,0,0.53,0,6.88,1.33,0,0,0
 84-94,0,1.4,0,24.22,0,1.58,4.6,0.86,1.95,0,0,0,0,0,16.48,4.45,3.55,21.75,0,1.04,0,0,0,0,0,0,0,0,0,0.97,0,0
 96-106,1.15,2.2,0,18.77,0.63,0,1.59,0,0,0,0.75,0,0,0,4.78,0,0,32.35,0,1.09,0,0,0,0,0,0,0,0,1.22,0,1.59,0
108-118,0,0.62,0.42,26.63,0,1.88,4.2,0.64,0,0,1.29,0,0.87,0.41,18.01,0,0.62,38.14,0,2.38,0.78,0,0,0,0,0,0,0,0,2.92,0,0
120,0,1.24,0,23.9,0,1.56,13.14,0,0,0,0,0,0,0,13.39,2.35,1.28,64.77,2.45,1.29,0,0,0,0,0,0,0,0,0,0,0,0
