stage,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,glial,gut,mesenchyme,neural,paraxial_mesoderm,spinal_cord
 10-12,4.79,0,5.35,0,5.87,0,0,0,169.72,82.44,0
 14-21,0,0,0,0.9,0,3.42,0,0.88,20.28,0,63.06
 36-46,0,0,0,0,0.74,0,0,0,0,0,0
 48-58,0,0,0,0,0.93,0,0,0,0,0,0
 60-70,0,0,0,0,2.88,1.3,0,0,0,0,0
 72-82,0,1.13,0,0,1.79,0,0,0,1.14,0,0
 84-94,0,0,0,0,2.85,0,3.44,0,0,0,0
 96-106,0,0,0,0,0,0,5.49,0,0,0,0
108-118,0,0,0,0,0,1.29,6.61,0,2.98,0,0
120,0,0,0,0,0,0,19.5,0,0,0,0
