stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,30.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,62.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5,0,0,36.61,3.78,0,0,0,0
 10-12,0,3.62,0,7.8,0,4.63,0,0,0,0,10.99,0,0,0,0,0,0,78.84,0,0,16.05,15.21,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.86,0,0,0,0.68,0,0,0,0,0,0,1,15.12,1.46,0,0,1.78,0,0,0,0
 36-46,0,0,0,0,0,1.08,3.2,0,0,0,0,0,0,4.32,0,0,0.97,7.56,0,0,0,0,1,0,0,0
 48-58,0,0,1.58,0,0,6.14,0.39,1.9,0,0,0,0,0,1,0,0,0,16.03,0,0,0,5.96,4.16,0,0,0
 60-70,0,0,15.7,0,0,0,0,0,1.89,0,0,0,0,1.88,0,0,2.96,10.67,0,0,0,0,5.56,0,0,0
 72-82,0,0,121.75,0,0,1.35,0,0,0,0,0,0,0,2.7,0,0,0,17.64,0,1.06,0,0,7.49,1.57,0,0
 84-94,0,0,155.7,0,0,8.44,0,1.33,0,0,0,2.81,0,1.59,0,0,0.7,5.1,0,0,0,5.97,0,3.74,0,0.98
 96-106,0,0,726.04,3.82,0,15.01,0,0,0,11.68,0,3.56,0.84,3.46,0.81,0,0,25.37,0,0,0,52.7,0,11.44,3.6,0
108-118,0,0,633.28,0,7.56,12.71,0,2.09,1.67,30.14,0,10.28,0,3.78,0.6,0.49,0,25.84,0,0,0,46.63,2.32,36.82,0,0
120,0,0,712.75,0,0,0,0,0,0,1.79,0,8.42,0,4.45,3.7,0,0,38.48,0,0,0,53.7,0,5.27,0,0
