stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.05,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,30.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.92,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.67,0,0,0,31.62,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.03,0,0,4.34,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,39.81,0,0,0,17.35,0,7.72,0,0,0,0,0,0
 14-21,0,0,0,0,4.04,0,1.92,0,0,0,0.93,0,0,0,0,0,0,0,0,0.8,0,0,2.43,17.94,0,2.43,0,0,0,0,2.41,11.81,0,0,0,0
 24-34,0,0,0,0,1.28,0,0.6,0,0,0.61,2.68,0.63,0,1.47,0,0,0,0,0,4.04,0,0,0,23.73,0.73,15.76,1.95,0,0,0.69,0,15.41,0,4.65,0,0.93
 36-46,0,0,0,0,2.31,0,8.29,0,1.88,0,0,0,0,0,0,0,0,0,0.7,11.87,0,0,2.79,14.52,0,12.75,0,0,0,0,0,7.32,0,0.56,0,0
 48-58,0,0,0,0,0,0,18.92,0,0,1.36,1.38,0,0,0,0,0,0,0,0,16.57,0,0,1.69,33.55,0,2.63,0,0,0,0,0,4.14,0,3.85,0,0
 60-70,0,0,0,0,0,0,126.76,0,0,5.92,0,0,0,0,0,0,0.72,0,4.71,20.79,0,0,0.97,50.63,0,11.2,0,0,0,0,0,3.49,0.73,0,0,0
 72-82,0,0,0.98,0,1.03,0.67,673.39,0,0,2.41,11.35,0.97,0,0,0.69,0.83,0,0,0.87,28.19,0,1.75,3.04,66.57,0,24.58,0,0,0,0,0,15.74,0,6.86,0.51,0
 84-94,0,0,0,0,2.17,0,831.64,0.56,0,5.98,4.13,0,0,0,0,0,5.69,0,6.93,35.59,0,5.36,0.71,102.18,0,14.01,1.36,0,1.66,0.63,0,2.6,0,6.51,1.95,0
 96-106,1.12,0,0,0,19.9,4.64,763.82,4.47,0,0,0,0,0,0,0,0,0,0,0.68,36.01,1.42,0,5.94,80.11,0,22.34,0,0,0,1.86,0,1.5,0,2.32,0,0
108-118,0,0,0,0,1.13,1.98,701.05,0,0,3.12,5.34,7.64,0,1.01,0,1.15,0.51,3.34,17.12,27.78,0,4.93,2.18,81.62,0,11.63,0,0,1.05,2.69,0,0,0,5.82,2.89,0
120,0,0,0,0,1.41,0,875.1,0,2.21,0,0,1.02,0,0,0,6.33,0,0,12.26,20.34,0,7.23,4.81,115.16,0,35.66,0,0,0,1.34,0,0,2.68,0,1.43,0
