stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,24.05,88.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,335.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.27,0,7.96,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,155.53,9.3,0,0,53.08,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,3.34,0,0,21.55,0,0,0,0,0,0,0,0,0,0,0,0,142.11,3.92,0,0,51.84,0,0,0,25.58,0,0,0,0,0
 14-21,0,0,1.09,8.59,1.02,0.87,0,0,0,0,0,0,0,0,1.22,0,0,0.84,10.38,0,0,0,0,0,0,2.74,0,0.84,3.8,0,0,0
 24-34,0,0,0,1.31,0.81,2.23,0,0,1.39,0,0,0,0,0,8.09,0,0,5.41,65.07,0.81,1.19,0,0,0,4.44,0,0,0.72,21.7,0,0,0
 36-46,0,0,0,8.69,0,2.37,0,0.88,3.93,0,0,0,0,0,5.64,0,0,0,46.41,0,0.98,0,0,0,0,0,0,0,16.35,0,0.99,0
 48-58,0,0,0,7.32,0,8.68,0,0,6.78,0,0,0.77,2.28,0.54,5.25,0,0,0,37.7,0,0,0,0,0,1.01,0,0,0,3.63,0,0,0
 60-70,0,0,0,0,0,11.72,4.21,0.62,0,5.41,0,0,0,0,9.5,0,1.11,0,59.73,0,0,0,0,0,6.96,0,0,0,7.59,1.5,1.15,0
 72-82,0,0,0,0,0.96,36.76,0,0,3.25,0,0,0.63,0,0,15.1,0.95,0.55,0,15.84,0,0,0.88,0,0.72,2.77,0,0,0,10.93,0,0.84,0
 84-94,0,0,0,3.87,0,8.33,1.15,0,7.62,0,8.94,0,0,0,9.03,0,0,2.25,11.78,0,0,0,0,0,0,0,0,0,0,0,1.88,0
 96-106,0,0,0,0,0,3.38,0,0.62,0,0,0,0,0,0,3.57,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,2.16
108-118,0,0,0,8.25,0,0.89,0,0,0,0,0,0,3.53,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1.94,0
120,0,0,0,1.43,0,32.26,0,0,0,0,0,0,0,0,15.87,0,0,2.12,63.59,0,0,0,0,0,0,0,0,0,0,0,0,0
