stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,7.14,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.92,0,0,0,14.64,0,0,0,17.1,0,0,0,0,0,0,0,0
 14-21,0,0,25.06,78.85,0,20.93,0,0,0,10.7,0,2.8,1.91,0,3.69,0,0,2.99,8.71,0,0,1.09,1788.18,1.84,55.59,0,0,0,0,0.8,0,0,4.61,459.48,0,0,14.01,0,0
 24-34,0,0,33.86,2.52,0,75.28,1.99,2.06,0,79.47,0,1.77,0,0,0,2.96,0,2.86,30.54,0,0,34.64,10033.33,0,505.1,11.65,0,0,11.23,0,1.04,0.94,0,1740.66,0,0,21.4,0,0
 36-46,0,0,16.98,0,0,1078.68,2.31,6.34,0.87,330.52,0,11.37,1.47,0,0,9.07,0,1.09,94.84,1.26,0,15.44,21481.45,1.52,697.21,15.91,0,0,7.69,0,0,4.48,0,3468.7,0,23.43,14.26,0,1.02
 48-58,1.29,0,41.61,5.07,0,2082.12,0,10.84,1.87,502.7,0,0,0,6.38,17.41,10.32,8.93,4.31,240.17,1.12,6.77,11.25,26760.63,4.93,457.82,24.11,0,0.59,15.86,0,2.01,2.89,0,4375.16,0,22.1,2.68,0,5.3
 60-70,0,11.82,37.54,3.69,0,1385.51,6.53,0.69,5.26,338.7,20.44,2.9,23.56,0.58,0,7.86,0,0,201.56,0,0,8.93,26441.57,18.72,531.25,36.92,0,0,31.03,0,0.59,1.33,0,3502.32,0,46.22,63.63,0,26.03
 72-82,0,3.15,101.32,29.59,0,1349.88,8.63,7.5,14.08,438.52,3.59,1.62,23.33,0.89,23.17,21.52,0,8.12,174.18,0.92,5.71,8.24,26248.34,0,805.98,38.53,0,0,17.29,0,0,7.87,0,2428.05,2.43,41.05,25.92,4.35,37.76
 84-94,0,7.79,80.64,5.99,0,1537.21,0,3.51,4.18,391.06,0.68,2.33,6.92,1.56,20.56,32.48,0,3.32,177.45,0,8.69,16.88,17420.84,0,738.07,155.54,0,0,18.21,0,0.66,1.03,0,1990.21,7.3,8.1,24.21,13.55,17.27
 96-106,0,5.23,194.36,12.22,1.52,950.17,15.01,2.44,16.29,443.23,17.5,2.92,15.7,1.72,5.75,103.83,36.84,3.42,197.71,8.89,4.09,13.05,16863.52,1.54,1341.64,140.19,0,6.52,35.49,0,0.74,0.66,0,762.94,2.45,11.63,24.04,2.43,3.8
108-118,0,2.21,159.3,18.89,3.6,1240.21,1.74,2.11,0,236.12,12.21,2.95,4.37,1.8,3.05,92.71,12.55,0,246.23,1.22,12.28,5.58,21393.47,2.31,910.31,71.05,0,0,28.05,0,5.06,0,0,608.51,3.9,9.54,6.17,8.45,8.46
120,0,0,96.41,23.42,0,1464.23,6.94,5.62,59.05,536.69,1.61,4.47,28.59,7.66,0,37.83,1.23,0,218.03,0,0,12.85,29543.23,1.24,1254.39,106.32,0,17.18,7.24,0,23.27,0,0,1029.95,0,14.47,12.73,0,0
