stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,938.83,19404.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837.03,0,0,0,0,0,0,0,0,0,0
  5-6,2247.37,20430.54,48.26,0,0,0,0,0,0,0,132.21,0,0,0,0,0,0,0,0,0,0,1786.81,156.57,0,0,351.64,0,659.84,0,0,0,0,0,0,0,0,0,0
  7-9,489.14,2227.77,4521.99,0,41.81,2762.7,0,0,0,0,1046.06,0,0,0,0,0,0,0,0,0,0,77641.4,436.38,0,0,4045.38,0,265.76,85.71,0,0,0,0,0,0,0,0,0
 10-12,157.22,1353.4,3820.34,0,77.82,579.27,0,0,0,0,131.29,0,0,0,0,0,3.73,0,0,0,11.62,59531.82,349.8,0,0,1097.13,0,42.33,17.55,0,73.88,0,0,0,0,0,0,0
 14-21,0,0,79.37,2366.42,14.67,14.32,0.82,0,1.3,1.09,0,3.71,0,7.2,0,5.15,0,434.71,0,0,681.4,2169.42,10.39,1.18,5.81,14.5,0,3.65,0,16.2,2.3,7.61,813.11,0,0,0,0,0
 24-34,0,0,48.06,318.2,2.17,3.79,1.82,0.62,0,0.89,6.5,0,0,0,0,26.95,0.99,122.47,1.5,0,25.32,552.85,0,0,2.25,10.77,0,22.35,0,0,1.46,1.37,135.71,0,0,4.12,0,1.69
 36-46,0,0,0,53.62,0,15.99,0,0.58,0,0,0,0,0,0,0,4.41,0,84.15,0,0,10,538.24,0,0,2.24,0,0,28.98,0,0,0.6,0,55.27,0,0,4.8,0,0
 48-58,0,0,0,34.65,0,179.29,0,1.15,8.93,0,0,1.56,0,0,0,4.72,0,221.57,0,0,7.33,361.16,0,0,2.68,0,0,7.23,0,0,0,0,25.12,0,0,0.51,0,2.5
 60-70,0,0,0,13.17,0,1270.28,0,0,2.82,0,0,0,0,0,0,2.12,0,121.49,0,0,0,225.4,0,0,0,0,0,4.99,0,0,0.6,0,7.42,0,0,0.79,0,0
 72-82,0,0,0,10.39,0,1301.44,0,0,11.33,1.38,0,0,0,0,0,6.04,3.19,155.83,0,0,1.91,175.71,0,0,0,0,0,1.41,0,0,0,0,12.88,0,0,2.62,6.04,6.66
 84-94,0,0,0,14.21,0,809.77,0,1.32,23.05,0,0,0,0.73,0,1.27,4.65,0,113.72,0,0,2.85,151.52,0,0,0,0,0,6.62,0,0,1.65,0,7.34,1.21,0,5.4,0,0
 96-106,0,0,0,10.79,1.92,1286.72,0,0,12.09,2.39,0,0,4.61,1.97,0,8.51,0,47.11,0,1.06,1.78,111.84,0,0,0,0,0,0.65,0,0,0.58,0,6.55,0,1.01,4.46,4.21,0
108-118,0,0,0,12.63,4.96,1022.39,0,1.76,7.56,3.05,0,0,2.57,2.01,0,19.31,0,91.5,0,0,4.35,150.78,2.6,2.8,0,0,2.7,3.13,0,0,0.84,0,3.12,0,1.26,0.51,0,0
120,4.73,0,0,11.2,0,761.98,0,0,6.42,12.04,0,0,7.64,0,0,4.65,0,49.81,0,0,0,141.04,2.28,0,3.34,0,0,1.81,0,0,0,0,17.36,0,0,14.73,0,0
