stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,99.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.1,0,22.62,0,0,0,0,0,0,0,0,0,10.91,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,13.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.17,0,0,43.13,0,0,0,41.76,0,8.91,0,0,0,0,0,0,0,1.62,0,0,0,54.84,0,0,5.33,0,0,0,40.76,1.02,1.08,94.3,0,0,0,0,0
 24-34,0,0,0,0.6,2.62,0,0,626.36,0,0,0,75.34,0,0.71,1.22,0,0,0,0,0,2.97,5.62,0,0,4.12,272.25,2.37,17.15,0,0,0,1.65,26.96,0,2.02,91.58,0,0,0,0,1.07
 36-46,0,0,0,0,0,0,0,1164.51,0,0,2,48.5,0,0,0,0,0,0,0.77,0,0,2.26,0,0,0,341.63,1.16,27.77,0.62,0,0,3.26,5.65,0,0,94.87,0,0,0,0,0
 48-58,0,0,0,0,7.82,0,0,2008.72,0,3.97,0.83,93.58,0,0,0,1.37,0,4.83,0,0,0,5.84,0,2.52,1.91,303.07,0,49.97,0,0,0,7.39,4.58,0,0,89.25,0,0,0,0,1.17
 60-70,2.52,0,0,0,13.77,0,0,5470.51,0,1.84,0,288.27,3.45,0,0,1.29,6.25,0,0,9.64,0,22.42,0,0,7.47,371.07,0,47.81,0,0,0,6.64,10.51,0,0,82.3,0,0,0,0,6.86
 72-82,0,0,0,0.56,17.96,2.31,0,5232.01,1.66,0,0,485.76,0,0.65,0,0.87,0,0,0,2.82,1.81,33.56,0.92,0.96,4.79,603.35,0,84.95,2.03,0,1.03,0.63,4.9,0,0,78.5,1.16,0,3.09,1.42,10.52
 84-94,0,0,0,0,35.24,16.56,0,5153.14,0.76,21.18,2.31,510.69,0.98,0,0,2.86,0,1.25,1.91,0,2.66,38.9,0.86,6.46,4.55,434.45,2.55,86.43,3.3,0,0,2.2,4.6,0,0,60.36,4.34,2.75,0.67,1.91,0
 96-106,0,0,0,0,19.2,10.06,0,4375.63,2.76,0.96,0,751.31,1.98,0,0,5.57,0.95,5.91,1.76,8.43,0,31.1,0,0,1.08,628.22,0,120.83,1.29,0,0,5.16,3.85,2.69,0,47.37,0,0,5.81,0,4.51
108-118,0,0,0,0,13.63,2.49,1.67,3346.44,0.58,1.02,0,700.63,0,0,0,1.28,1.27,0,0,3.47,0,20.92,12.15,4.04,1.02,716.09,0,107.33,3.72,0,0,4.48,6.54,0,0,29.96,0,1.06,4.68,0,0
120,0,0,4.31,0,20.72,1.28,1.79,3271.18,0,7.54,5.18,661.2,0,0,0,14.81,0,8.53,0,10.09,0,48.84,0,0,1.51,1277.28,2.98,146.84,1.76,0,0,0,7.79,0,0,40.67,0,2.41,16.24,0,0
