stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,3.69,0,0,0.99,0,0,0,0,345.65,0.96,0.99,0,0,0,0,0
 24-34,0,0,0.62,0,12.02,0,0,0,0,0,0,0,0,0,0,2.15,0,0,5.3,35.03,0,0,0,0,0,1.08,0,0,672.47,1.99,3.7,0,0,1.92,0,0
 36-46,0,0,0,0,7.25,0,0,1.13,3.21,0,0,0,0,0,0,4.6,0,0,2.41,51.82,0,0,0,0,0,0,0,0,767.56,0,6.93,0,0,0,0,0
 48-58,0,4.96,0,0,10.34,2.88,0,0,2.56,0,5.14,0,0,0,0,1.6,0,0,4.51,82.41,1,0,0,0,0,0.67,0,0,808.82,0,9.41,0,0,1.82,0,10.36
 60-70,0,1,0,0,18.92,61.89,1.1,0,0.8,0,0,0,6.73,0,0,7.82,0,0,13.85,33.21,0,0,0,6.48,0,4.56,0,2.89,340.11,0,14.36,0,2.29,0,0,0
 72-82,0,6.2,2.42,0,24.05,167.01,0,4.92,0.87,0,0,0,0,0,0,12.29,0,0,2.02,63.53,0,0.79,0.79,0,0,4.77,0,0,278.33,0,15.62,0,0,1.35,0.93,0
 84-94,0,6.27,0,0,49.13,449.66,2.13,0,1.39,0,0,0.86,1.97,0,0,7.05,1.81,0,22.08,60.77,0,0,1.07,0,0,11.58,0,0.73,330.77,0,0,3.18,0,6.52,0,5.18
 96-106,0.56,4.69,7.84,1.67,15.97,496.51,0,1.54,11.95,2.89,0,0.73,0,5.93,0,21.62,0,0.85,32.73,81.08,0.73,3.77,0.56,4.82,0,4.41,0,0,424.44,0,0,0,0,8.68,0,0
108-118,0,1.09,2.21,0,21.39,1293.6,0.57,0,8.95,1.39,0,0.48,0,0,0.59,17.41,0.54,4.74,6.06,89.08,0,0,0,0,4.36,5.9,0,0,245.79,0,1.84,0,0,3.65,0,0
120,0,1.03,5.28,0,12.75,664.15,0,0,6.29,0,0,0,0,0,0,1.15,0,0,0,106.9,0,0,6.93,0,0,0,2.24,0,170.66,0,0,0,0,0,0,0
