stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,11.92,180.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.06,527.97,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78,0,0,0,7.9,0,14.08,0,0,0,0,0,0,0,0,0,0
  7-9,9.59,5.25,0,19.68,0,0,34.04,0,0,0,13.74,0,0,0,0,0,0,0,0,0,139.6,10.51,0,0,94.35,0,26.71,14.7,0,0,0,0,0,0,0,0,0
 10-12,0,17.09,0,8.03,0,0,7.42,0,0,0,4.64,0,0,0,0,0,0,0,0,0,179.42,0,0,0,95.6,0,0,4.8,0,15.37,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.85,0,2.23,0,1.95,1.26,0,0,5.98,0,0,0,0,0,0,2.69,30.74,0,0,0,0.9,0,8.66,0,6.44,0.87,5.98,8.07,18.33,0,0,0,0
 24-34,0,0,0,0,3.53,0,0,0,0,1.26,7.51,0,52.03,0,0,0,2.48,0,0,0.72,66.12,0,0,0.61,0,0,37.66,0,0,0,0,0,11.98,0,0,2.71,0
 36-46,0,0,0,0,0,0,3.06,0,1.63,2.4,0,0.65,100.03,0,0.65,0,2.13,0,0,1.41,57.4,0,3.03,0,0,0,36.32,0,0,0,0,0,15.39,0,0,16.69,0
 48-58,0,0,0,0,1.26,0,14.42,0,3.62,0,0,0,126.36,0,0.39,0,2.6,0,0,0,105.39,0,0.64,0,0,0,4.52,0,0,0,1.46,0,20.89,0,0,54.69,0
 60-70,0,0,0,0,4.01,0.88,25.64,0,10.85,0,0,0,114.95,0,0,0,9.72,0,0,0,94.06,0,0,0,0,0,17.11,0,0,0,0,0,7.32,0,0,40.69,2.69
 72-82,0,0,0,0,0,6.26,10.76,0,4.35,0,0,0,179.51,0,0,0,7.88,0,0,1.33,108.97,0,0,0,0,1.08,11.61,0,0,0,0,0,8.31,0,0.63,79.6,0
 84-94,0,0,0,0,4.33,2.96,13.01,0,1.77,0,0,0,243.13,0.6,0,0,3.95,0,0,0,75.64,0,0,3.17,0,0,51.59,1.4,0,0,0.6,0,11.28,0,0,77.21,0
 96-106,0,0,0.83,0,7,12.17,21.7,0.81,0.69,0.8,0,0.78,397.47,1.07,4.25,4.48,7.85,0,0.85,3.65,58.88,0,3.67,1.47,0,0,16.27,0,0,0,0,0,8.84,0,0,120.46,0
108-118,0,0,0,2.37,8.28,3.42,10.44,1.92,6.81,1.93,0,0,343.67,0,0,0.48,5.62,0.53,0,0,92.54,0,0,0,0,0,27.99,0,0,1.09,0,0,3.93,0,0,111.29,0
120,0,0,0,0,16.05,5.58,33.61,1.05,3.15,0,0,0,282.45,0,0,0,13.48,2.8,0,0,176.02,0,10.58,0,0,0,11.72,0,0,0,0,0,19.78,1.84,0,87.62,16.56
